"State","County","FIPS","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Median.AQI"
"Colorado","Santa Barbara","06083",359,171,88,25,1,4,2,173,58
"Colorado","Ventura","06111",260,220,37,28,7,5,1,216,91
"Colorado","Imperial","06025",297,136,62,21,0,1,1,249,38
"Colorado","Riverside","06065",270,159,99,9,4,5,1,244,64
"Colorado","Mono","06051",350,252,96,2,10,3,1,476,84
"Colorado","Humboldt","06023",362,110,30,11,10,2,1,163,75
"Colorado","Siskiyou","06093",323,154,40,1,6,1,1,234,50
"Kentucky","Mason","17125",345,265,49,9,8,2,1,225,99
"Kentucky","Johnson","17087",330,202,60,15,14,2,0,430,87
"Oklahoma","Delaware","36025",261,143,47,30,8,1,0,174,95
"Oklahoma","New York","36061",322,133,56,1,8,1,2,360,37
"Oklahoma","Oneida","36065",323,219,31,23,14,2,1,476,82
"Oklahoma","Washington","36115",308,240,57,17,15,1,0,251,52
"Oklahoma","Cattaraugus","36009",359,115,89,17,8,5,0,412,71
"Alabama","Cullman","01043",317,223,61,25,5,4,2,355,91
"Alabama","Autauga","01001",262,126,47,15,12,1,1,297,53
"Alabama","Talladega","01121",336,117,49,13,7,1,1,406,57
"Alabama","Wilcox","01131",278,150,61,13,14,1,0,165,73
"Alabama","Marengo","01091",317,181,85,29,15,4,0,230,38
"Alabama","Crenshaw","01041",300,203,71,14,13,5,2,284,90
"Alabama","Lowndes","01085",332,173,91,3,3,0,2,299,36
"Alabama","Greene","01063",318,186,89,26,12,4,1,321,89
"Oklahoma","Jefferson","36045",299,184,44,3,15,4,2,132,32
"Oklahoma","Clinton","36019",265,245,68,22,8,2,1,432,99
"Oklahoma","Essex","36031",344,291,58,8,8,5,2,173,80
"Kentucky","Edwards","17047",264,246,53,8,9,1,0,454,76
"West Virginia","Galveston","48167",262,102,31,29,14,0,2,389,95
"West Virginia","Kenedy","48261",277,181,61,7,5,2,2,394,46
"West Virginia","Webb","48479",360,173,70,12,3,4,2,440,53
"West Virginia","San Patricio","48409",253,196,47,25,12,5,1,460,34
"West Virginia","El Paso","48141",304,129,72,29,8,3,1,237,30
"West Virginia","Matagorda","48321",278,218,91,13,1,5,2,127,36
"West Virginia","Jefferson","48245",255,243,87,20,15,0,1,261,43
"Colorado","Madera","06039",291,203,42,17,1,3,2,303,99
"Colorado","Merced","06047",362,268,37,21,6,2,0,192,40
"Colorado","Tehama","06103",358,239,71,10,15,4,0,249,61
"Colorado","Yuba","06115",363,298,57,7,2,1,1,441,74
"Colorado","Mariposa","06043",321,137,35,29,15,5,2,364,79
"West Virginia","Trinity","48455",365,150,33,19,7,3,0,476,30
"West Virginia","Austin","48015",349,235,31,25,10,4,1,282,44
"West Virginia","Bosque","48035",278,134,52,17,2,2,0,215,70
"West Virginia","Anderson","48001",273,218,37,3,12,0,1,321,35
"West Virginia","Delta","48119",295,175,50,24,0,5,0,198,67
"West Virginia","Victoria","48469",272,237,72,25,3,1,2,219,91
"West Virginia","San Saba","48411",343,264,20,20,9,2,2,432,89
"West Virginia","Upshur","48459",332,222,99,18,8,4,1,496,93
"West Virginia","Coleman","48083",254,298,99,8,1,3,1,248,64
"West Virginia","Floyd","48153",261,281,100,30,13,2,0,301,72
"West Virginia","Walker","48471",312,265,66,26,15,1,1,177,97
"West Virginia","Washington","48477",301,173,33,3,0,2,0,202,31
"West Virginia","Mitchell","48335",354,268,20,26,2,5,2,157,92
"West Virginia","Morris","48343",288,271,92,19,11,2,1,148,62
"West Virginia","Kent","48263",304,218,88,19,2,5,2,218,83
"West Virginia","Armstrong","48011",348,146,35,4,15,1,2,198,86
"Oklahoma","Saratoga","36091",318,199,86,17,10,0,0,156,33
"West Virginia","Comal","48091",294,103,100,17,9,2,2,206,98
"West Virginia","Travis","48453",316,281,83,23,8,4,2,167,35
"West Virginia","Ward","48475",305,102,38,25,0,4,2,148,58
"West Virginia","Freestone","48161",301,101,37,6,0,4,2,465,30
"West Virginia","Cherokee","48073",281,268,95,5,13,0,2,332,51
"West Virginia","Limestone","48293",337,277,80,5,14,3,1,209,53
"West Virginia","Wood","48499",251,203,64,23,5,1,1,340,60
"West Virginia","Mills","48333",269,299,41,14,12,1,2,335,56
"West Virginia","Martin","48317",299,238,40,29,15,1,0,247,64
"Alabama","Montgomery","01101",286,129,38,14,6,2,2,312,78
"Alabama","Marshall","01095",341,129,58,23,11,5,2,191,39
"Alabama","Pike","01109",342,123,82,1,5,1,1,426,44
"Oklahoma","Chautauqua","36013",270,100,78,22,14,4,1,324,43
"West Virginia","Chambers","48071",282,261,72,5,1,3,0,193,35
"West Virginia","Maverick","48323",304,162,68,26,8,3,1,279,67
"West Virginia","Harrison","48203",272,142,98,8,5,2,0,246,52
"West Virginia","Bowie","48037",267,178,30,26,11,3,1,354,93
"West Virginia","Lamar","48277",330,164,71,12,0,5,2,406,32
"West Virginia","Oldham","48359",328,185,35,3,5,1,0,280,30
"West Virginia","Marion","48315",353,132,87,11,5,1,2,259,34
"Alabama","Baldwin","01003",253,112,42,3,1,2,0,255,57
"Alabama","Washington","01129",261,126,79,15,10,3,1,396,65
"Colorado","San Diego","06073",348,172,65,12,5,1,2,187,33
"Colorado","San Mateo","06081",303,126,65,5,5,2,2,126,54
"Colorado","Sierra","06091",363,284,48,16,3,0,2,453,96
"Colorado","El Dorado","06017",274,243,35,8,12,0,1,359,62
"Colorado","Butte","06007",332,256,49,10,1,4,1,341,51
"Colorado","Tuolumne","06109",272,237,27,25,2,5,2,361,38
"Kentucky","Alexander","17003",340,235,36,23,3,5,0,360,75
"Kentucky","Wabash","17185",319,175,48,11,11,0,1,181,64
"Kentucky","Menard","17129",312,174,76,8,1,1,0,131,66
"Oklahoma","Kings","36047",267,289,89,28,4,3,0,146,95
"Oklahoma","Herkimer","36043",310,299,89,16,3,5,1,290,91
"Colorado","Colusa","06011",305,201,24,21,2,3,1,173,34
"Kentucky","Stark","17175",305,167,30,26,15,2,1,173,85
"West Virginia","Ector","48135",365,247,65,13,14,4,2,217,41
"West Virginia","Rusk","48401",343,187,80,27,3,4,1,396,76
"West Virginia","Crane","48103",273,110,84,27,7,0,0,129,41
"West Virginia","Dawson","48115",258,102,35,22,2,0,1,119,100
"West Virginia","Colorado","48089",356,293,36,0,10,2,1,412,60
"West Virginia","Lee","48287",274,137,36,28,6,1,1,199,90
"West Virginia","Nacogdoches","48347",283,175,85,30,14,3,1,437,38
"West Virginia","Bee","48025",335,236,31,5,15,5,1,475,95
"West Virginia","San Augustine","48405",302,175,88,28,12,2,1,463,39
"West Virginia","Mason","48319",321,298,69,2,7,1,1,153,41
"West Virginia","Glasscock","48173",300,242,63,26,15,3,1,222,89
"Kentucky","Lake","17097",314,280,38,8,3,3,0,396,82
"Kentucky","Coles","17029",313,175,68,25,6,2,2,459,88
"Colorado","Orange","06059",262,271,60,30,6,3,0,116,52
"Colorado","Marin","06041",329,129,90,14,0,4,0,361,78
"Colorado","Santa Clara","06085",294,113,97,5,0,1,1,325,38
"Colorado","San Joaquin","06077",275,215,66,5,5,2,0,200,45
"Colorado","Fresno","06019",251,241,47,3,7,5,1,270,56
"Oklahoma","Ulster","36111",331,138,73,14,5,1,1,435,83
"West Virginia","Montgomery","48339",364,217,92,5,7,1,0,349,89
"West Virginia","Howard","48227",324,142,76,24,1,0,0,340,70
"West Virginia","Leon","48289",331,274,24,14,12,4,2,499,49
"West Virginia","Jasper","48241",345,145,79,15,12,4,0,126,57
"West Virginia","Titus","48449",278,148,69,22,4,4,0,104,58
"Colorado","Monterey","06053",276,232,39,14,11,1,1,290,96
"Kentucky","Washington","17189",364,136,60,10,12,2,2,144,55
"Oklahoma","Queens","36081",307,270,46,29,12,2,2,476,48
"Alabama","Shelby","01117",278,242,86,10,10,0,0,482,78
"West Virginia","Sabine","48403",309,178,60,8,14,3,1,355,70
"West Virginia","Hidalgo","48215",264,165,27,3,11,3,0,407,62
"West Virginia","Calhoun","48057",258,253,73,26,6,3,2,234,69
"West Virginia","Val Verde","48465",297,112,30,4,11,0,0,224,33
"West Virginia","Shelby","48419",332,274,83,8,11,2,2,392,97
"West Virginia","Zavala","48507",327,200,31,30,7,1,0,272,38
"West Virginia","Navarro","48349",287,218,26,7,3,5,1,464,76
"West Virginia","Burleson","48051",327,251,77,11,10,5,0,337,57
"West Virginia","Waller","48473",273,295,68,0,1,4,1,140,87
"West Virginia","Grimes","48185",284,101,98,28,5,5,0,390,89
"West Virginia","Borden","48033",307,298,66,17,5,2,0,101,51
"Colorado","Contra Costa","06013",310,254,92,11,10,0,1,278,99
"Oklahoma","Suffolk","36103",278,237,51,20,5,1,0,491,90
"Alabama","Conecuh","01035",268,236,84,9,6,1,0,459,52
"West Virginia","Brazos","48041",283,162,94,28,1,1,1,300,80
"West Virginia","Burnet","48053",254,113,68,21,14,1,2,336,57
"West Virginia","San Jacinto","48407",255,153,92,26,13,5,0,456,48
"Alabama","DeKalb","01049",269,105,73,30,10,5,0,260,71
"Colorado","Lake","06033",260,276,38,19,7,5,1,325,31
"Oklahoma","Niagara","36063",342,179,26,24,13,5,0,399,62
"Oklahoma","Westchester","36119",341,127,98,29,11,5,1,368,82
"Oklahoma","Sullivan","36105",362,245,87,1,6,4,1,438,93
"Alabama","Jefferson","01073",324,298,41,1,13,3,0,125,96
"West Virginia","Starr","48427",273,207,57,18,8,1,1,281,42
"West Virginia","Presidio","48377",351,169,45,20,3,5,0,330,88
"West Virginia","Jackson","48239",359,127,59,16,12,4,0,231,90
"West Virginia","Bandera","48019",297,226,28,28,1,2,1,345,97
"West Virginia","Randall","48381",271,291,37,11,0,0,0,197,95
"West Virginia","Wharton","48481",304,205,54,4,10,5,0,230,82
"Colorado","San Luis Obispo","06079",349,122,86,8,4,5,0,405,63
"Colorado","Nevada","06057",311,108,57,14,1,5,2,189,84
"Kentucky","Will","17197",351,108,90,8,12,0,1,469,44
"Kentucky","Saline","17165",255,179,32,8,12,0,0,131,45
"Oklahoma","Warren","36113",303,117,69,4,6,0,2,242,82
"Alabama","Dallas","01047",339,109,72,21,0,3,0,351,90
"Alabama","Monroe","01099",314,170,92,17,13,5,1,210,90
"Oklahoma","Oswego","36075",301,143,78,15,9,0,1,173,41
"West Virginia","Aransas","48007",308,280,85,0,13,1,1,484,79
"West Virginia","Guadalupe","48187",352,129,40,13,6,0,2,286,35
"West Virginia","Hale","48189",275,173,31,16,0,0,0,468,80
"West Virginia","Nueces","48355",269,291,100,29,13,1,2,214,73
"West Virginia","Brewster","48043",277,278,56,19,13,3,0,343,78
"West Virginia","Bexar","48029",253,235,73,18,12,4,0,273,39
"West Virginia","Smith","48423",338,201,82,7,14,5,2,249,60
"West Virginia","McMullen","48311",320,259,91,22,0,0,1,281,30
"Colorado","Santa Cruz","06087",310,279,94,22,6,0,2,338,48
"Kentucky","Pulaski","17153",279,272,42,22,5,3,1,238,63
"Oklahoma","Nassau","36059",359,238,49,25,12,1,0,148,43
"Kentucky","Clinton","17027",329,231,33,21,0,3,0,196,83
"West Virginia","Cameron","48061",284,219,91,16,6,3,0,497,37
"West Virginia","Nolan","48353",311,169,83,17,1,0,2,194,30
"West Virginia","Brazoria","48039",299,233,21,3,0,2,2,167,56
"West Virginia","Throckmorton","48447",303,274,89,2,10,3,1,482,42
"West Virginia","Loving","48301",341,141,26,30,12,5,1,495,84
"West Virginia","Rains","48379",301,242,33,29,9,4,1,500,82
"West Virginia","Crockett","48105",359,214,44,27,5,1,2,227,62
"Colorado","Tulare","06107",251,211,94,14,4,4,1,220,50
"West Virginia","Kerr","48265",268,297,80,1,6,4,2,198,71
"Colorado","Yolo","06113",261,141,48,14,8,5,1,349,35
"West Virginia","Pecos","48371",264,156,87,6,2,1,2,244,30
"West Virginia","Orange","48361",355,229,58,28,9,1,1,144,67
"Colorado","San Benito","06069",306,240,64,0,6,4,2,124,45
"Colorado","Calaveras","06009",318,215,99,24,1,5,2,312,80
"West Virginia","Foard","48155",296,124,91,11,1,1,1,319,42
"West Virginia","Van Zandt","48467",342,293,49,26,12,3,2,159,81
"Colorado","Solano","06095",297,198,47,6,12,3,1,287,52
"Alabama","Mobile","01097",310,109,60,9,13,4,2,464,32
"Alabama","Covington","01039",324,213,43,5,11,0,2,340,90
"Alabama","Sumter","01119",322,162,49,6,11,1,1,456,91
"Alabama","Lamar","01075",314,181,51,17,2,0,2,161,47
"Alabama","Cleburne","01029",365,275,46,28,8,3,0,216,99
"Colorado","Stanislaus","06099",280,230,50,20,11,5,0,382,42
"Kentucky","Scott","17171",250,158,62,27,1,4,2,478,55
"Kentucky","Adams","17001",321,220,36,8,5,4,0,393,64
"Kentucky","Knox","17095",266,221,89,19,0,3,0,394,30
"Kentucky","Jersey","17083",298,193,22,1,3,0,1,187,93
"Kentucky","Kankakee","17091",251,116,21,7,9,4,0,314,70
"Kentucky","Montgomery","17135",256,300,30,17,5,5,0,378,70
"Kentucky","Madison","17119",321,102,66,23,9,5,1,348,34
"Kentucky","DeKalb","17037",350,281,27,0,0,5,0,162,35
"Kentucky","Kane","17089",286,164,59,8,11,3,0,153,31
"Kentucky","Tazewell","17179",344,206,65,2,2,4,0,371,75
"Kentucky","Clark","17023",330,199,89,24,2,0,2,475,93
"Kentucky","Henry","17073",323,256,82,9,8,3,1,463,57
"Kentucky","Hardin","17069",313,249,94,29,10,2,1,269,53
"Kentucky","Gallatin","17059",278,150,63,7,13,4,1,323,57
"Kentucky","Piatt","17147",316,189,70,3,1,5,1,320,48
"Kentucky","Marion","17121",282,294,78,27,2,0,2,338,52
"Oklahoma","Putnam","36079",364,121,95,25,13,4,2,395,94
"Oklahoma","Erie","36029",360,294,35,12,15,5,2,460,51
"Oklahoma","Albany","36001",330,193,57,19,9,3,1,328,73
"Alabama","Chilton","01021",302,116,44,18,14,2,1,309,97
"Alabama","Morgan","01103",288,106,50,23,2,2,2,304,84
"Alabama","Coosa","01037",351,122,99,20,12,3,0,211,32
"Kentucky","Boone","17007",343,191,83,20,9,1,1,336,86
"Kentucky","Effingham","17049",264,218,26,29,2,0,2,233,70
"Kentucky","Champaign","17019",250,121,68,15,7,1,1,452,86
"Kentucky","Calhoun","17013",284,299,49,29,14,4,2,227,88
"West Virginia","Fort Bend","48157",298,287,29,5,0,5,0,162,75
"Kentucky","Monroe","17133",357,133,55,14,5,2,1,187,65
"Kentucky","Vermilion","17183",251,268,54,20,14,0,2,375,63
"Kentucky","Logan","17107",331,234,82,6,5,0,1,489,49
"Oklahoma","Cortland","36023",324,203,88,12,4,4,1,140,38
"West Virginia","Atascosa","48013",328,200,74,20,8,5,0,316,68
"West Virginia","Denton","48121",267,261,42,0,15,2,1,169,47
"West Virginia","Medina","48325",342,293,78,4,0,3,1,271,100
"Kentucky","Williamson","17199",342,253,95,22,15,1,0,214,74
"Kentucky","Stephenson","17177",283,131,32,4,3,5,0,199,99
"Oklahoma","Hamilton","36041",318,111,21,12,8,5,2,269,51
"Oklahoma","Schuyler","36097",314,256,35,17,7,4,1,266,63
"Oklahoma","Yates","36123",278,129,72,25,9,5,1,289,79
"West Virginia","Bell","48027",255,163,83,12,12,2,2,337,88
"West Virginia","Brown","48049",310,242,55,16,1,3,2,359,97
"West Virginia","Hunt","48231",275,134,37,25,6,5,2,252,88
"Alabama","Limestone","01083",353,182,89,30,11,2,0,174,44
"West Virginia","Kendall","48259",363,136,49,9,3,3,2,200,92
"West Virginia","Hutchinson","48233",256,193,20,29,13,3,0,433,88
"West Virginia","Haskell","48207",348,231,66,22,8,0,1,451,43
"West Virginia","Coryell","48099",344,144,53,7,10,4,0,462,86
"West Virginia","Gregg","48183",347,275,56,6,8,0,2,323,81
"West Virginia","Cottle","48101",354,134,72,3,0,2,2,162,46
"West Virginia","Hamilton","48193",255,129,85,12,13,3,2,215,55
"West Virginia","Swisher","48437",283,266,37,14,9,1,0,203,47
"West Virginia","Dickens","48125",268,239,73,29,6,4,2,266,59
"Colorado","San Francisco","06075",311,203,77,16,10,1,0,287,83
"Colorado","Inyo","06027",354,138,31,13,15,0,1,262,50
"Colorado","Placer","06061",365,137,42,15,13,4,0,119,74
"West Virginia","Terry","48445",269,171,98,5,12,4,0,102,75
"West Virginia","Somervell","48425",322,146,35,15,1,0,2,132,41
"West Virginia","Castro","48069",286,144,56,20,5,1,0,491,84
"West Virginia","Goliad","48175",360,139,71,25,6,5,1,388,70
"West Virginia","Irion","48235",333,235,92,26,11,3,1,185,87
"West Virginia","Crosby","48107",335,146,93,5,3,5,2,433,40
"West Virginia","Schleicher","48413",289,156,90,15,15,4,0,186,92
"Colorado","Lassen","06035",329,191,55,6,7,1,0,376,45
"Colorado","Kern","06029",365,181,38,5,12,1,0,386,81
"West Virginia","Montague","48337",315,258,61,17,11,1,1,116,43
"West Virginia","Hemphill","48211",340,221,99,4,2,0,1,275,72
"West Virginia","Dallam","48111",258,147,22,29,11,2,2,463,98
"Kentucky","Brown","17009",269,260,73,25,1,0,1,337,33
"Oklahoma","Richmond","36085",360,228,63,7,3,2,0,338,53
"Oklahoma","Franklin","36033",362,198,69,13,3,0,2,321,55
"West Virginia","Cass","48067",327,153,88,21,3,0,2,348,63
"Alabama","Butler","01013",289,283,70,3,0,2,0,466,44
"West Virginia","Kinney","48271",337,250,54,3,4,3,1,129,73
"West Virginia","Cochran","48079",261,226,75,22,7,0,2,254,42
"West Virginia","Parmer","48369",298,202,40,6,4,1,1,483,58
"West Virginia","Clay","48077",256,205,36,23,11,1,2,406,37
"West Virginia","Cooke","48097",350,153,28,12,7,1,0,393,67
"West Virginia","Lipscomb","48295",359,144,66,17,1,5,2,333,88
"Colorado","Trinity","06105",315,123,23,26,9,3,1,154,66
"West Virginia","Sherman","48421",300,233,39,2,2,5,1,313,64
"West Virginia","Ochiltree","48357",256,207,34,7,2,5,0,244,76
"West Virginia","Collingsworth","48087",318,124,51,23,1,0,0,155,69
"West Virginia","Winkler","48495",305,232,53,11,13,5,2,483,76
"West Virginia","Yoakum","48501",352,238,92,20,1,0,2,137,32
"West Virginia","Runnels","48399",331,275,97,6,0,5,1,147,56
"West Virginia","Palo Pinto","48363",317,210,53,12,5,1,2,314,51
"West Virginia","Jack","48237",333,221,83,15,3,4,2,260,82
"West Virginia","Lamb","48279",302,191,21,4,12,3,0,481,79
"West Virginia","Karnes","48255",314,227,70,7,8,4,1,100,47
"West Virginia","Coke","48081",331,277,27,8,10,1,0,407,94
"West Virginia","Live Oak","48297",287,281,54,1,1,4,0,399,61
"West Virginia","Hall","48191",251,105,64,9,6,2,0,174,93
"West Virginia","King","48269",268,277,88,6,3,1,2,150,95
"West Virginia","Gillespie","48171",340,277,30,26,1,1,0,158,59
"West Virginia","Sutton","48435",292,259,25,27,6,1,2,482,70
"West Virginia","Franklin","48159",264,213,50,1,10,5,1,259,38
"West Virginia","Duval","48131",275,175,62,25,2,3,1,281,77
"West Virginia","La Salle","48283",350,241,20,8,6,2,1,356,72
"West Virginia","Stephens","48429",277,281,32,20,0,5,2,128,37
"West Virginia","Young","48503",365,195,40,7,4,3,1,470,32
"West Virginia","Hansford","48195",302,215,87,11,15,0,1,202,88
"West Virginia","Baylor","48023",274,140,21,24,3,4,2,303,67
"West Virginia","Dimmit","48127",352,248,52,3,14,1,2,436,38
"West Virginia","Garza","48169",276,218,80,7,8,4,2,258,73
"West Virginia","Edwards","48137",325,255,50,15,10,5,0,385,83
"West Virginia","Concho","48095",259,245,37,23,5,0,0,376,51
"Kentucky","Ford","17053",275,102,86,26,8,4,1,369,50
"Kentucky","Schuyler","17169",306,282,27,22,14,5,0,260,80
"Kentucky","Cumberland","17035",259,132,29,20,2,4,1,354,75
"Alabama","Dale","01045",283,122,35,23,12,5,0,411,84
"Alabama","Perry","01105",346,259,27,10,12,1,1,413,31
"Kentucky","Peoria","17143",280,248,48,23,4,2,2,345,83
"Kentucky","Henderson","17071",305,211,21,15,14,3,2,360,53
"Alabama","Coffee","01031",354,210,100,22,12,1,2,203,47
"Alabama","Bullock","01011",300,168,59,30,13,5,0,138,37
"Kentucky","White","17193",282,284,100,29,5,4,0,321,68
"Kentucky","Bureau","17011",318,285,84,22,5,1,0,176,32
"Kentucky","Clay","17025",300,279,98,23,9,4,1,175,90
"Kentucky","Perry","17145",329,241,75,3,2,3,1,380,38
"Kentucky","Woodford","17203",362,282,27,7,5,0,2,251,41
"Kentucky","Marshall","17123",271,190,58,0,3,5,2,275,72
"Oklahoma","Orleans","36073",277,275,91,2,15,1,1,191,31
"Kentucky","Lawrence","17101",290,128,49,18,8,3,0,135,83
"Kentucky","Pope","17151",316,245,100,28,14,3,2,202,59
"Kentucky","Mercer","17131",279,218,71,4,7,3,0,420,82
"Oklahoma","Bronx","36005",270,283,63,1,6,2,1,466,71
"Kentucky","Carroll","17015",269,277,52,17,9,1,0,140,79
"Oklahoma","Monroe","36055",332,233,84,6,4,5,1,210,44
"Oklahoma","Montgomery","36057",360,187,20,6,8,0,2,142,85
"Oklahoma","Rockland","36087",302,165,35,0,8,5,2,285,35
"Oklahoma","Allegany","36003",293,296,71,7,2,3,1,125,83
"Oklahoma","Columbia","36021",318,123,79,24,9,4,2,238,76
"Kentucky","Whiteside","17195",281,273,95,23,8,3,2,449,79
"Alabama","Tuscaloosa","01125",281,258,23,21,0,5,0,396,97
"Alabama","Calhoun","01015",358,150,27,1,11,3,1,357,61
"Kentucky","Richland","17159",267,256,38,10,15,0,1,247,95
"Kentucky","Fulton","17057",267,138,38,17,0,1,0,239,63
"Oklahoma","Ontario","36069",274,143,58,22,15,2,0,334,80
"Oklahoma","Rensselaer","36083",254,276,26,8,14,3,2,200,46
"Oklahoma","Schenectady","36093",326,152,37,10,7,1,0,257,83
"Oklahoma","Fulton","36035",322,142,52,1,8,1,1,340,67
"Alabama","Bibb","01007",354,103,61,24,5,3,2,366,69
"Oklahoma","Broome","36007",279,266,95,26,4,1,1,237,70
"Colorado","Kings","06031",336,183,82,25,11,5,1,115,89
"Alabama","Henry","01067",328,237,21,24,11,1,2,198,92
"Alabama","Chambers","01017",267,161,40,19,3,2,1,268,70
"Oklahoma","Tioga","36107",261,171,53,8,4,1,1,172,63
"Alabama","Lauderdale","01077",347,105,38,19,8,3,0,234,69
"Oklahoma","Dutchess","36027",299,186,78,6,4,4,1,319,54
"Colorado","Sacramento","06067",282,158,54,5,3,0,1,470,84
"Kentucky","Pike","17149",331,167,57,8,8,2,1,319,81
"Kentucky","Jackson","17077",269,271,98,21,15,4,2,389,99
"Kentucky","Putnam","17155",303,272,71,29,12,1,0,148,76
"Kentucky","Iroquois","17075",352,235,27,18,13,5,0,281,75
"Kentucky","Jasper","17079",277,109,78,19,6,4,2,275,54
"Kentucky","Sangamon","17167",362,191,33,26,10,3,1,199,86
"Kentucky","Ogle","17141",264,182,37,10,5,1,0,277,69
"Kentucky","Greene","17061",283,191,70,9,9,0,2,442,78
"Kentucky","Shelby","17173",262,277,57,9,14,2,2,458,82
"Kentucky","Livingston","17105",320,106,98,2,14,0,0,158,54
"Kentucky","Edgar","17045",288,200,40,11,13,5,1,467,36
"Kentucky","Bond","17005",340,157,41,13,13,2,2,150,36
"Oklahoma","Steuben","36101",337,213,36,2,13,3,0,347,69
"West Virginia","Rockwall","48397",297,111,61,21,0,0,1,395,58
"West Virginia","DeWitt","48123",292,113,93,22,11,0,1,369,44
"West Virginia","Hays","48209",286,205,98,2,0,5,2,251,30
"West Virginia","Willacy","48489",333,230,66,13,4,3,1,233,89
