"GEOID","NAME","STATE","YEAR","TOTAL_POP","WHITE_POP","BLACK_POP","ASIAN_POP","HISPANIC_POP"
"24047","Worcester","MD",2022,840792,286108,246529,26470,27615
"24031","Montgomery","MD",2022,605094,516378,322380,67115,84234
"01051","Elmore","AL",2022,488512,125517,380909,228086,233381
"01009","Blount","AL",2022,648008,390084,369363,251881,351843
"25001","Barnstable","MA",2022,521753,507390,75883,71280,257814
"25013","Hampden","MA",2022,983602,859201,106328,270109,21737
"26041","Delta","MI",2022,326534,422249,474966,119191,218338
"01025","Clarke","AL",2022,986996,58518,304259,52910,337975
"01055","Etowah","AL",2022,553598,90804,457087,215198,167884
"26013","Baraga","MI",2022,77994,162692,94004,48501,85396
"01115","St. Clair","AL",2022,569911,3821,450650,85208,164251
"01065","Hale","AL",2022,893147,73648,35668,81699,277395
"27137","St. Louis","MN",2022,120832,130221,423626,18320,328706
"27107","Norman","MN",2022,904992,272536,250950,134461,103021
"27173","Yellow Medicine","MN",2022,97386,561876,131682,240850,81940
"28087","Lowndes","MS",2022,437818,573462,137014,132739,296917
"29031","Cape Girardeau","MO",2022,37692,694962,7495,250716,326209
"29201","Scott","MO",2022,657306,643678,446860,173596,352512
"29081","Harrison","MO",2022,264041,270583,299521,120365,384481
"30031","Gallatin","MT",2022,808518,522181,354268,235671,15411
"30071","Phillips","MT",2022,276262,820050,272786,65886,13262
"30085","Roosevelt","MT",2022,49974,669424,37891,15318,51553
"30089","Sanders","MT",2022,833927,176168,57597,261576,121119
"31103","Keya Paha","NE",2022,507471,691312,124501,5883,176242
"34011","Cumberland","NJ",2022,783973,833058,306833,24380,10514
"34041","Warren","NJ",2022,179255,141261,381636,233186,267306
"34005","Burlington","NJ",2022,45705,776795,405760,194058,248333
"34023","Middlesex","NJ",2022,868188,326904,53504,257424,397341
"35041","Roosevelt","NM",2022,430618,61959,339365,31315,128088
"37031","Carteret","NC",2022,741014,374309,460825,202848,259190
"37165","Scotland","NC",2022,788430,692276,368765,29925,359199
"37009","Ashe","NC",2022,439110,627789,173642,191448,263510
"37075","Graham","NC",2022,132234,653247,307648,77224,348395
"38105","Williams","ND",2022,441972,443446,346903,69192,195068
"38085","Sioux","ND",2022,955763,511515,428188,5517,286657
"39123","Ottawa","OH",2022,708354,623068,345316,185341,119523
"39125","Paulding","OH",2022,630271,816002,256428,9075,51855
"39035","Cuyahoga","OH",2022,77938,12942,349157,279911,169179
"40095","Marshall","OK",2022,112981,464778,466945,183578,392273
"40013","Bryan","OK",2022,181036,182687,341890,158985,24480
"40023","Choctaw","OK",2022,202505,519629,418307,7534,233814
"41033","Josephine","OR",2022,1831,623908,22453,241000,305564
"41045","Malheur","OR",2022,642892,292436,428089,190289,337945
"41001","Baker","OR",2022,30676,791891,283331,77321,66715
"41021","Gilliam","OR",2022,371954,390507,424757,118224,53076
"42045","Delaware","PA",2022,399566,806045,75213,80286,88137
"42049","Erie","PA",2022,899435,315786,19869,16269,215413
"42059","Greene","PA",2022,368922,870029,37073,194012,271639
"45053","Jasper","SC",2022,167859,586147,477023,97567,330251
"45043","Georgetown","SC",2022,853622,421742,402926,157371,313454
"45091","York","SC",2022,822396,520683,389062,63746,78837
"45057","Lancaster","SC",2022,557732,171649,444629,154612,96411
"46009","Bon Homme","SD",2022,529819,308101,257645,103053,244797
"47065","Hamilton","TN",2022,690245,180528,463549,93894,229854
"47163","Sullivan","TN",2022,549702,590367,20546,177072,331334
"47009","Blount","TN",2022,238125,848152,270935,94515,351613
"47019","Carter","TN",2022,945702,682095,101726,15959,174773
"48273","Kleberg","TX",2022,271703,494007,219265,9448,255847
"48391","Refugio","TX",2022,646035,824059,374271,55732,340165
"48201","Harris","TX",2022,862540,5673,86482,298772,147093
"48443","Terrell","TX",2022,622427,207733,351163,23292,113851
"48229","Hudspeth","TX",2022,793082,884846,29193,297719,242102
"48205","Hartley","TX",2022,684763,837879,38585,125784,171580
"48351","Newton","TX",2022,487831,107931,6932,125524,316320
"54107","Wood","WV",2022,782977,48863,487150,145801,182266
"49037","San Juan","UT",2022,751395,870456,17031,181828,320044
"49033","Rich","UT",2022,422641,280983,65411,287907,278339
"50027","Windsor","VT",2022,202405,574494,457781,257031,96037
"51119","Middlesex","VA",2022,890142,256126,123536,198809,116556
"51131","Northampton","VA",2022,389785,102729,475243,82538,180776
"51117","Mecklenburg","VA",2022,626474,621202,278146,100247,289306
"51133","Northumberland","VA",2022,577883,413733,261052,65681,363423
"51051","Dickenson","VA",2022,674143,700195,182433,57930,197213
"51107","Loudoun","VA",2022,213670,212529,272959,60429,341654
"51181","Surry","VA",2022,340390,722767,444680,110663,179768
"53027","Grays Harbor","WA",2022,827887,519028,370763,200504,171675
"53053","Pierce","WA",2022,846634,291879,51123,122972,58195
"53047","Okanogan","WA",2022,322306,114202,218638,16732,115887
"53071","Walla Walla","WA",2022,575965,507928,129590,106802,128265
"02066","Copper River","AK",2022,755267,9918,382585,222962,338597
"54031","Hardy","WV",2022,54881,124414,196982,251400,33176
"54023","Grant","WV",2022,562028,90313,67998,247743,151756
"55121","Trempealeau","WI",2022,395547,592353,339601,109224,369571
"55037","Florence","WI",2022,647129,796678,43487,278428,66023
"02100","Haines","AK",2022,645501,625011,126267,182052,199719
"56045","Weston","WY",2022,520035,688910,113825,278012,320765
"05013","Calhoun","AR",2022,907505,68042,190323,144973,291388
"05061","Howard","AR",2022,544851,600176,73476,21402,316954
"05099","Nevada","AR",2022,954731,898326,30561,61010,185971
"05103","Ouachita","AR",2022,412008,116908,83789,79360,182670
"06063","Plumas","CA",2022,214299,719877,462210,251674,378318
"06101","Sutter","CA",2022,384184,300650,158082,225625,301563
"06021","Glenn","CA",2022,274939,659971,114987,204766,166188
"08015","Chaffee","CO",2022,824845,883347,195552,25020,188881
"08065","Lake","CO",2022,239557,477652,301191,53751,173946
"08027","Custer","CO",2022,297533,732007,366424,173834,227584
"12097","Osceola","FL",2022,64960,485945,182255,128162,77058
"12119","Sumter","FL",2022,241468,494298,41022,135311,277326
"12107","Putnam","FL",2022,650079,755219,84971,14012,80314
"13219","Oconee","GA",2022,838953,568283,489188,195459,326239
"13135","Gwinnett","GA",2022,681966,775806,1110,262644,155334
"13009","Baldwin","GA",2022,732225,334093,470303,1750,177519
"13001","Appling","GA",2022,471123,491255,455667,103969,323016
"13271","Telfair","GA",2022,390512,780715,338604,115108,258869
"13217","Newton","GA",2022,464337,560101,378412,263238,246432
"13163","Jefferson","GA",2022,323721,353458,49454,242921,250595
"13267","Tattnall","GA",2022,530525,566992,179659,188911,166107
"13317","Wilkes","GA",2022,528159,347998,346764,150866,79784
"13319","Wilkinson","GA",2022,892482,640521,262307,278337,290917
"13237","Putnam","GA",2022,777870,526530,29367,10468,357917
"13079","Crawford","GA",2022,377451,378872,274763,113021,215082
"16013","Blaine","ID",2022,470095,1870,497805,58323,48832
"16023","Butte","ID",2022,72656,153278,272740,200251,299509
"16025","Camas","ID",2022,105857,333860,422523,234015,235130
"17065","Hamilton","IL",2022,769957,710657,107769,133538,351221
"18055","Greene","IN",2022,299586,430277,300324,123577,102579
"18051","Gibson","IN",2022,283973,25446,362502,12349,109753
"18027","Daviess","IN",2022,687905,784824,54185,72190,130800
"19039","Clarke","IA",2022,195534,568806,373130,88207,276037
"19001","Adair","IA",2022,921227,458311,301396,63719,389330
"20027","Clay","KS",2022,727012,831797,329142,212600,264258
"20171","Scott","KS",2022,278580,17762,282187,255379,46998
"20047","Edwards","KS",2022,853412,383942,330444,181302,247714
"21115","Johnson","KY",2022,765400,221020,443545,125979,175505
"21175","Morgan","KY",2022,756538,249335,24388,276587,116030
"21095","Harlan","KY",2022,808909,41602,133327,6433,268534
"21187","Owen","KY",2022,378256,588772,120865,161489,385301
"21097","Harrison","KY",2022,82632,92403,36288,42801,235066
"21197","Powell","KY",2022,706621,173323,496751,18036,168619
"21069","Fleming","KY",2022,61512,120739,313922,159810,231399
"21063","Elliott","KY",2022,470192,779121,293283,267492,32615
"21079","Garrard","KY",2022,842704,587947,345860,159385,32184
"22069","Natchitoches","LA",2022,634086,700890,41278,284200,66893
"22081","Red River","LA",2022,949948,477817,494117,35460,372612
"22001","Acadia","LA",2022,532950,736547,193844,249709,244251
"23007","Franklin","ME",2022,608081,547386,444560,114649,128024
"25015","Hampshire","MA",2022,113239,814823,464113,214629,302440
"26095","Luce","MI",2022,72829,779591,447177,125280,11596
"27097","Morrison","MN",2022,537763,833533,140242,289865,348427
"27023","Chippewa","MN",2022,539799,483892,428223,44688,116458
"27139","Scott","MN",2022,735326,651603,264298,167531,355997
"27087","Mahnomen","MN",2022,136125,440143,283824,14557,236327
"28121","Rankin","MS",2022,326552,563717,291966,36130,126515
"28083","Leflore","MS",2022,71926,326969,271976,107209,381774
"29113","Lincoln","MO",2022,404660,655046,339094,291215,165263
"29167","Polk","MO",2022,211834,639343,486958,238107,85228
"29207","Stoddard","MO",2022,155645,808781,129307,28112,45384
"30013","Cascade","MT",2022,574911,218351,304051,240104,280687
"30093","Silver Bow","MT",2022,491206,342132,119526,141832,119542
"30055","McCone","MT",2022,290973,309644,391661,52864,283920
"30059","Meagher","MT",2022,102910,116524,228077,250043,173369
"30033","Garfield","MT",2022,434748,243141,124021,195629,84501
"31071","Garfield","NE",2022,670340,432996,305671,250608,274375
"31115","Loup","NE",2022,485992,430184,313973,130106,36309
"31075","Grant","NE",2022,111431,304065,287989,94746,325755
"36053","Madison","NY",2022,235174,570821,261410,104476,247723
"36077","Otsego","NY",2022,184948,743381,151067,252647,291897
"36051","Livingston","NY",2022,117243,568204,133319,290566,320682
"37147","Pitt","NC",2022,206896,267568,215453,269744,399235
"37085","Harnett","NC",2022,341170,187561,418165,165850,63560
"37079","Greene","NC",2022,867799,666755,425767,36845,56600
"37125","Moore","NC",2022,349490,546544,267610,192543,148699
"37023","Burke","NC",2022,868299,385798,228317,204533,367091
"37021","Buncombe","NC",2022,435648,800208,104756,29737,308028
"37093","Hoke","NC",2022,775073,727067,221090,161611,385824
"38073","Ransom","ND",2022,546464,386805,263253,178687,168788
"38007","Billings","ND",2022,551132,821025,90087,222423,279461
"39101","Marion","OH",2022,136024,139555,384217,69397,322435
"40027","Cleveland","OK",2022,254977,660850,436754,88345,184142
"42071","Lancaster","PA",2022,752682,195745,237077,222624,246199
"42043","Dauphin","PA",2022,481712,640203,112962,275514,339199
"42067","Juniata","PA",2022,923195,817827,385977,238647,118450
"42027","Centre","PA",2022,348075,421474,187750,233233,263560
"42035","Clinton","PA",2022,806551,324461,203067,67669,398255
"42063","Indiana","PA",2022,559608,606500,66871,292480,397305
"42099","Perry","PA",2022,659989,222230,68373,23599,207135
"45077","Pickens","SC",2022,42620,161939,447254,52740,182702
"45041","Florence","SC",2022,108079,82122,90989,110282,277542
"45087","Union","SC",2022,692395,210810,373298,118814,368385
"46103","Pennington","SD",2022,57698,138886,223590,256644,255933
"46095","Mellette","SD",2022,283118,591076,296303,204132,196331
"47035","Cumberland","TN",2022,236334,736520,141317,291032,42468
"47021","Cheatham","TN",2022,153597,261025,472100,240133,262458
"47005","Benton","TN",2022,395779,832613,56733,164249,12972
"47041","DeKalb","TN",2022,295109,868945,341862,101486,225475
"47129","Morgan","TN",2022,956987,11228,43846,145376,359690
"47185","White","TN",2022,746612,771413,208080,160299,164046
"47151","Scott","TN",2022,229903,453516,7844,241323,237026
"47107","McMinn","TN",2022,801048,696269,17505,41664,282075
"47117","Marshall","TN",2022,759477,249592,246239,228697,85741
"47003","Bedford","TN",2022,661269,414834,450732,241018,306839
"48373","Polk","TX",2022,738778,648890,36897,170182,265040
"48139","Ellis","TX",2022,305017,30871,425789,200477,17500
"48491","Williamson","TX",2022,701131,800980,28133,104068,30973
"48213","Henderson","TX",2022,404296,519539,393722,115486,346459
"48005","Angelina","TX",2022,332025,189506,294898,152349,269262
"48441","Taylor","TX",2022,250223,208277,388223,280596,348378
"48199","Hardin","TX",2022,583195,692610,197483,289245,382131
"48055","Caldwell","TX",2022,825351,455630,434187,277020,11987
"48063","Camp","TX",2022,684719,62492,351810,239163,368647
"48395","Robertson","TX",2022,500730,16749,408490,188786,288366
"48223","Hopkins","TX",2022,289735,830465,94023,143143,313388
"48225","Houston","TX",2022,836205,158939,125895,108827,173792
"48341","Moore","TX",2022,510202,575277,360705,207323,156996
"48461","Upton","TX",2022,330866,155143,62971,270776,229863
"48387","Red River","TX",2022,393265,100083,48274,209687,339408
"48383","Reagan","TX",2022,543687,584236,38672,29967,247304
"48313","Madison","TX",2022,174567,763338,118912,1234,378180
"49051","Wasatch","UT",2022,597103,645942,18725,253424,142447
"49057","Weber","UT",2022,561890,796334,18711,233081,2749
"49035","Salt Lake","UT",2022,262255,334602,412885,220607,46952
"51101","King William","VA",2022,41932,676097,67344,235104,77384
"51085","Hanover","VA",2022,239683,495641,115105,180664,395208
"51003","Albemarle","VA",2022,976617,778331,303507,250553,160311
"51019","Bedford","VA",2022,739682,79450,280272,48608,195603
"51067","Franklin","VA",2022,636948,575935,255579,21808,378466
"51015","Augusta","VA",2022,676745,871872,217067,47249,221416
"51113","Madison","VA",2022,78314,593141,495621,97088,391003
"51053","Dinwiddie","VA",2022,614943,714012,22912,219242,151554
"51121","Montgomery","VA",2022,867812,273184,14096,14382,2520
"51081","Greensville","VA",2022,2353,720298,203645,240848,118481
"53005","Benton","WA",2022,562113,803632,160968,154575,116057
"54085","Ritchie","WV",2022,61921,822231,490985,171743,165347
"54033","Harrison","WV",2022,656405,173992,187409,252570,332548
"54017","Doddridge","WV",2022,907505,376829,2257,77510,378557
"54043","Lincoln","WV",2022,791623,258476,13633,37079,215499
"54001","Barbour","WV",2022,699997,234554,19795,98215,132526
"54007","Braxton","WV",2022,628330,853089,397605,63817,154181
"55111","Sauk","WI",2022,524269,287926,296510,299140,2757
"55107","Rusk","WI",2022,669635,12234,329663,272846,180050
"60020","Manu'a","AS",2022,712891,655128,160206,176688,198673
"69110","Saipan","MP",2022,67827,333138,58368,160487,348013
"72097","Mayagüez","PR",2022,206757,888003,313409,144026,110735
"72031","Carolina","PR",2022,269356,259597,400631,192620,118097
"72113","Ponce","PR",2022,495178,243445,34581,32599,257965
"72039","Ciales","PR",2022,550460,673461,269548,149811,141438
"72047","Corozal","PR",2022,823228,501997,163774,1980,347277
"72037","Ceiba","PR",2022,638686,873415,205248,91143,366164
"72067","Hormigueros","PR",2022,380143,779779,414447,227282,137183
"21237","Wolfe","KY",2022,336273,16272,242355,24157,149425
"48243","Jeff Davis","TX",2022,230729,391487,411152,70022,58613
"10003","New Castle","DE",2022,550420,828276,206354,298543,267700
"06005","Amador","CA",2022,393859,279488,378898,203816,322260
"06089","Shasta","CA",2022,35352,702653,399381,85712,44467
"04013","Maricopa","AZ",2022,483399,87646,243717,200918,188387
"12127","Volusia","FL",2022,159268,354574,431608,153620,91174
"12101","Pasco","FL",2022,109708,330910,136850,166623,201728
"12123","Taylor","FL",2022,963185,583863,418673,280834,272977
"12017","Citrus","FL",2022,779497,129395,62332,76654,274484
"12131","Walton","FL",2022,897109,333209,325421,216953,315342
"12031","Duval","FL",2022,454701,708978,240176,83128,114662
"12053","Hernando","FL",2022,516456,584931,139971,100013,52745
"12065","Jefferson","FL",2022,566544,832460,159731,107974,254062
"12039","Gadsden","FL",2022,115035,811442,106736,76519,370239
"17043","DuPage","IL",2022,776684,53574,400419,25089,275219
"17161","Rock Island","IL",2022,272298,417610,269663,124934,326967
"13215","Muscogee","GA",2022,250999,292237,341352,249987,93186
"13039","Camden","GA",2022,354598,130982,199227,169655,128886
"13127","Glynn","GA",2022,981032,481236,124192,204769,149611
"13049","Charlton","GA",2022,672724,557055,373126,60730,251343
"13241","Rabun","GA",2022,915122,332575,143767,221246,384313
"01089","Madison","AL",2022,776205,73745,211288,293952,355824
"01071","Jackson","AL",2022,895494,464347,428284,11673,197386
"05007","Benton","AR",2022,651203,146602,304165,244708,182480
"04015","Mohave","AZ",2022,565497,286176,243969,89275,104542
"04005","Coconino","AZ",2022,482211,105105,110148,51785,181838
"05073","Lafayette","AR",2022,726871,647175,382260,193419,137029
"05133","Sevier","AR",2022,456123,184333,171059,282914,101222
"05021","Clay","AR",2022,382921,128881,262112,261026,148658
"05107","Phillips","AR",2022,599345,113349,462225,212394,289733
"05093","Mississippi","AR",2022,953532,433583,189197,231708,211666
"05015","Carroll","AR",2022,137233,282257,189732,66365,101479
"06083","Santa Barbara","CA",2022,939452,45895,220259,57832,14162
"06111","Ventura","CA",2022,432620,590699,122182,83928,287338
"06025","Imperial","CA",2022,887470,173924,376351,285841,70816
"06065","Riverside","CA",2022,772096,199918,453734,287675,282500
"06051","Mono","CA",2022,743484,428017,62424,79631,1323
"06023","Humboldt","CA",2022,559984,727861,261007,189222,112446
"06093","Siskiyou","CA",2022,910394,344261,8194,46455,35095
"08071","Las Animas","CO",2022,582874,253808,356936,254143,397654
"08123","Weld","CO",2022,761861,899764,483830,237772,189505
"08069","Larimer","CO",2022,973093,45964,207117,226518,126745
"09110","Capitol","CT",2022,933799,826307,5363,296014,126264
"38067","Pembina","ND",2022,396289,774127,34244,70099,356433
"37007","Anson","NC",2022,164936,558466,236616,162115,51382
"38053","McKenzie","ND",2022,661346,205652,300081,233056,294775
"39095","Lucas","OH",2022,444369,320441,206610,117492,369451
"39171","Williams","OH",2022,990310,812059,125814,229961,107029
"41015","Curry","OR",2022,994476,199204,496012,45846,226192
"41039","Lane","OR",2022,240033,539341,267191,267358,267540
"41025","Harney","OR",2022,829151,624207,34177,2885,92110
"42051","Fayette","PA",2022,800687,518980,33731,73620,204454
"42055","Franklin","PA",2022,563771,408229,476644,163065,2952
"44007","Providence","RI",2022,402924,403450,74668,35384,261587
"45003","Aiken","SC",2022,344979,373986,308514,133544,233105
"13251","Screven","GA",2022,430200,296588,135075,156284,83078
"12095","Orange","FL",2022,902382,542245,326169,194756,366322
"16033","Clark","ID",2022,312509,411441,56404,122580,169808
"16049","Idaho","ID",2022,711357,774719,252512,34375,309600
"16069","Nez Perce","ID",2022,134211,882365,336760,72786,24985
"16059","Lemhi","ID",2022,119530,476232,83193,196713,12005
"17125","Mason","IL",2022,964720,276861,389472,271794,88242
"16021","Boundary","ID",2022,857646,348317,253544,64608,232265
"17087","Johnson","IL",2022,155188,592587,58158,102802,235674
"18129","Posey","IN",2022,474291,339772,262990,298443,197649
"19111","Lee","IA",2022,699510,255195,271857,242990,189306
"26073","Isabella","MI",2022,809218,842819,147184,248053,350539
"26115","Monroe","MI",2022,127072,46695,58967,50098,214482
"19051","Davis","IA",2022,638991,500553,165019,184243,314080
"19149","Plymouth","IA",2022,714736,842441,24110,21150,268922
"19063","Emmet","IA",2022,280177,569268,253328,13990,191525
"18081","Johnson","IN",2022,673078,247617,51689,6115,105696
"20147","Phillips","KS",2022,61496,338248,493712,78310,343739
"36025","Delaware","NY",2022,61409,163884,102879,34906,267894
"36061","New York","NY",2022,586252,272002,15951,210653,72701
"36065","Oneida","NY",2022,550042,127804,1904,126114,354635
"08059","Jefferson","CO",2022,283295,239163,231546,292909,147864
"08037","Eagle","CO",2022,83209,438713,484941,99231,145554
"40147","Washington","OK",2022,631250,74621,223478,8303,32936
"21027","Breckinridge","KY",2022,845943,664376,51679,39031,42618
"40075","Kiowa","OK",2022,745626,623624,124974,37873,188889
"40113","Osage","OK",2022,656354,77544,399841,80606,358799
"08117","Summit","CO",2022,439905,647497,195693,223331,323334
"36115","Washington","NY",2022,287373,820835,182641,227483,238580
"36009","Cattaraugus","NY",2022,8877,384722,30564,275541,250507
"21221","Trigg","KY",2022,991358,206405,395533,126906,249890
"22075","Plaquemines","LA",2022,471009,335560,11814,274257,5121
"08093","Park","CO",2022,813164,52543,279752,122473,164711
"08051","Gunnison","CO",2022,566822,350531,150004,255051,15123
"22113","Vermilion","LA",2022,457068,166142,402523,189436,15805
"22101","St. Mary","LA",2022,348498,511528,53600,127083,241040
"08107","Routt","CO",2022,445079,251762,120803,193296,103401
"22017","Caddo","LA",2022,367362,732894,87440,241059,276479
"08029","Delta","CO",2022,756118,891482,290506,146133,299366
"22123","West Carroll","LA",2022,420581,741072,109190,274085,252209
"22115","Vernon","LA",2022,736238,14834,239873,164089,380186
"23031","York","ME",2022,954105,22034,246941,91814,204247
"22091","St. Helena","LA",2022,58211,571350,376227,244355,217531
"23003","Aroostook","ME",2022,895421,170534,47966,95875,179071
"02090","Fairbanks North Star","AK",2022,465921,204462,293231,136892,135118
"02050","Bethel","AK",2022,659606,811164,41715,185380,266943
"02240","Southeast Fairbanks","AK",2022,31220,198605,230441,139058,261924
"23017","Oxford","ME",2022,23986,404760,421913,218024,116567
"24037","St. Mary's","MD",2022,57886,328821,403219,295259,182088
"24017","Charles","MD",2022,622129,335717,231850,222901,350568
"02188","Northwest Arctic","AK",2022,31113,555004,117138,48549,33331
"24021","Frederick","MD",2022,98919,718604,473957,137462,254246
"24043","Washington","MD",2022,361692,307465,343985,244781,364465
"01043","Cullman","AL",2022,749089,590327,86831,97240,129820
"01001","Autauga","AL",2022,149201,765889,91370,81003,342640
"01121","Talladega","AL",2022,924219,803962,204480,270726,195578
"25025","Suffolk","MA",2022,41485,280716,249348,85619,215480
"25005","Bristol","MA",2022,403761,420736,102182,4000,245995
"01131","Wilcox","AL",2022,753715,176516,41545,69848,322693
"01091","Marengo","AL",2022,360929,567711,316344,138172,315357
"27027","Clay","MN",2022,387049,291435,170931,158754,30643
"27017","Carlton","MN",2022,120032,588636,206864,245272,104818
"27119","Polk","MN",2022,984204,766020,15306,5036,262569
"01041","Crenshaw","AL",2022,44330,186400,48500,40923,324245
"01085","Lowndes","AL",2022,768515,371343,342379,164209,8558
"01063","Greene","AL",2022,552434,189032,164079,163867,169616
"28149","Warren","MS",2022,527562,681885,421132,271110,369006
"28153","Wayne","MS",2022,23104,707517,378469,192262,393497
"29143","New Madrid","MO",2022,803199,716353,453213,267134,51800
"29095","Jackson","MO",2022,129605,875226,494009,224951,392329
"29183","St. Charles","MO",2022,450923,601211,207066,201419,224692
"29197","Schuyler","MO",2022,659164,580464,138382,191492,38667
"29023","Butler","MO",2022,371172,452949,158954,299000,324568
"29157","Perry","MO",2022,124242,44295,22659,140216,340002
"30003","Big Horn","MT",2022,758972,850165,310403,108579,77019
"30053","Lincoln","MT",2022,406463,700103,169006,8991,43370
"30051","Liberty","MT",2022,760299,707641,248537,76730,106271
"30005","Blaine","MT",2022,411478,375431,439071,241668,19105
"30083","Richland","MT",2022,77963,311161,189830,78879,101716
"30001","Beaverhead","MT",2022,590060,307265,325987,153324,277336
"30009","Carbon","MT",2022,257333,688683,291065,34445,360972
"32017","Lincoln","NV",2022,965579,892879,387496,183896,348019
"32033","White Pine","NV",2022,529714,54859,196833,31849,62920
"33017","Strafford","NH",2022,57193,330221,425225,99136,68917
"34009","Cape May","NJ",2022,248201,704774,95803,110816,285019
"34015","Gloucester","NJ",2022,322015,744578,385052,259411,116514
"34003","Bergen","NJ",2022,205370,28618,349056,148557,60570
"34019","Hunterdon","NJ",2022,667167,157274,309643,58827,325882
"35017","Grant","NM",2022,532668,601401,91888,197153,349843
"35045","San Juan","NM",2022,355134,505236,175205,270589,388256
"35039","Rio Arriba","NM",2022,608470,578906,324946,61191,151585
"35007","Colfax","NM",2022,707322,322418,398537,220059,338162
"36045","Jefferson","NY",2022,203768,230703,198108,252284,61487
"36019","Clinton","NY",2022,21617,168601,210668,236024,364505
"36031","Essex","NY",2022,853552,392529,441926,18358,312068
"37095","Hyde","NC",2022,240017,437429,330130,36908,208106
"37055","Dare","NC",2022,187652,654111,359441,240053,13443
"37129","New Hanover","NC",2022,801701,88185,351284,86533,358228
"37119","Mecklenburg","NC",2022,390193,575789,274587,244173,178788
"37137","Pamlico","NC",2022,554815,226091,307356,203295,159481
"37089","Henderson","NC",2022,488521,671156,292368,17075,382217
"37115","Madison","NC",2022,338551,759325,103241,166479,35138
"37155","Robeson","NC",2022,63834,516296,427479,202356,195270
"38017","Cass","ND",2022,132278,578340,413247,292773,202313
