variable_name,domain,description,type,source,min_year,max_year,units,related_to_standard,standard_domain,extended_only,notes,api_source,api_variable,data_quality_flag_required
unemployment_rate,Economic,Unemployment rate,numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
absolute_upward_mobility,Economic Factors,Expected income rank for children from low-income families,numeric_index,Opportunity Insights,2000,2018,percentile,NA,Economic,TRUE,NA,NA,NA,TRUE
economic_distress_index,Economic Factors,Composite index of economic distress,numeric_index,Appalachian Regional Commission,2000,2023,index,NA,Economic,TRUE,NA,NA,NA,TRUE
economic_typology,Economic Factors,County economic typology,categorical,USDA Economic Research Service,2000,2023,category,NA,Economic,TRUE,NA,NA,NA,TRUE
employment_volatility_index,Economic Factors,Index of employment stability/volatility,numeric_index,USDA Economic Research Service,2000,2023,index,unemployment_rate,Economic,TRUE,NA,NA,NA,TRUE
income_inequality_ratio,Economic Factors,Ratio of income at 80th percentile to income at 20th percentile,numeric_ratio,American Community Survey,2010,2023,ratio,gini_index,Economic,TRUE,NA,NA,NA,TRUE
income_mobility_index,Economic Factors,Measure of intergenerational economic mobility,numeric_index,Opportunity Insights,2000,2018,index,NA,Economic,TRUE,NA,NA,NA,TRUE
job_density_index,Economic Factors,Number of jobs within typical commute distance,numeric_index,Opportunity Insights,2000,2018,index,NA,Economic,TRUE,NA,NA,NA,TRUE
job_growth_rate,Economic Factors,Annual job growth rate,numeric_percent,Bureau of Labor Statistics,2000,2023,percent,unemployment_rate,Economic,TRUE,NA,NA,NA,TRUE
mean_commute_distance,Economic Factors,Average commute distance,numeric_distance,Opportunity Insights,2000,2018,miles,mean_commute_time,Economic,TRUE,NA,NA,NA,TRUE
persistent_child_poverty_county,Economic Factors,Flag for counties with persistent child poverty,binary,USDA Economic Research Service,2000,2023,binary,poverty_rate,Economic,TRUE,NA,NA,NA,TRUE
persistent_poverty_county,Economic Factors,Flag for counties with persistent poverty,binary,USDA Economic Research Service,2000,2023,binary,poverty_rate,Economic,TRUE,NA,NA,NA,TRUE
bachelors_or_higher,Education,Population with bachelor's degree or higher,numeric_count,American Community Survey,2010,2023,people,NA,Education,FALSE,NA,NA,NA,FALSE
bachelors_or_higher_pct,Education,Percentage with bachelor's degree or higher,numeric_percent,American Community Survey,2010,2023,percent,NA,Education,FALSE,NA,NA,NA,FALSE
enrolled_in_college,Education,Population enrolled in college or graduate school,numeric_count,American Community Survey,2010,2023,people,NA,Education,FALSE,NA,NA,NA,FALSE
enrolled_in_college_pct,Education,Percentage enrolled in college or graduate school,numeric_percent,American Community Survey,2010,2023,percent,NA,Education,FALSE,NA,NA,NA,FALSE
graduate_degree,Education,Population with graduate or professional degree,numeric_count,American Community Survey,2010,2023,people,NA,Education,FALSE,NA,NA,NA,FALSE
graduate_degree_pct,Education,Percentage with graduate or professional degree,numeric_percent,American Community Survey,2010,2023,percent,NA,Education,FALSE,NA,NA,NA,FALSE
high_school_graduation_rate,Education,High school graduation rate,numeric_percent,American Community Survey,2010,2023,percent,NA,Education,FALSE,NA,NA,NA,FALSE
high_school_only,Education,Population with high school diploma only,numeric_count,American Community Survey,2010,2023,people,NA,Education,FALSE,NA,NA,NA,FALSE
high_school_only_pct,Education,Percentage with high school diploma only,numeric_percent,American Community Survey,2010,2023,percent,NA,Education,FALSE,NA,NA,NA,FALSE
less_than_high_school,Education,Population with less than high school education,numeric_count,American Community Survey,2010,2023,people,NA,Education,FALSE,NA,NA,NA,FALSE
less_than_high_school_pct,Education,Percentage with less than high school education,numeric_percent,American Community Survey,2010,2023,percent,NA,Education,FALSE,NA,NA,NA,FALSE
some_college,Education,Population with some college or associate's degree,numeric_count,American Community Survey,2010,2023,people,NA,Education,FALSE,NA,NA,NA,FALSE
some_college_pct,Education,Percentage with some college or associate's degree,numeric_percent,American Community Survey,2010,2023,percent,NA,Education,FALSE,NA,NA,NA,FALSE
educational_opportunity_index,Educational Resources & Quality,Measure of educational opportunity,numeric_index,Stanford Education Data Archive,2009,2018,index,NA,Education,TRUE,NA,NA,NA,TRUE
math_achievement_gap,Educational Resources & Quality,Achievement gap in math scores by race/ethnicity,numeric_index,Stanford Education Data Archive,2009,2018,z-score,NA,Education,TRUE,NA,NA,NA,TRUE
per_pupil_expenditure,Educational Resources & Quality,Per-pupil expenditure in public schools,numeric_money,National Center for Education Statistics,2000,2022,dollars,NA,Education,TRUE,NA,NA,NA,TRUE
preschool_enrollment_rate,Educational Resources & Quality,Percentage of 3-4 year-olds enrolled in preschool,numeric_percent,National Center for Education Statistics,2000,2022,percent,NA,Education,TRUE,NA,NA,NA,TRUE
reading_achievement_gap,Educational Resources & Quality,Achievement gap in reading scores by race/ethnicity,numeric_index,Stanford Education Data Archive,2009,2018,z-score,NA,Education,TRUE,NA,NA,NA,TRUE
school_funding_equity,Educational Resources & Quality,Ratio of funding in high-poverty vs. low-poverty districts,numeric_ratio,National Center for Education Statistics,2000,2022,ratio,NA,Education,TRUE,NA,NA,NA,TRUE
student_teacher_ratio,Educational Resources & Quality,Student-to-teacher ratio in public schools,numeric_ratio,National Center for Education Statistics,2000,2022,ratio,NA,Education,TRUE,NA,NA,NA,TRUE
air_pollution_pm25,Environmental,Fine particulate matter (PM2.5) concentration,numeric_index,EPA / Census Bureau,2000,2023,µg/m³,NA,Environmental,FALSE,NA,NA,NA,FALSE
population_density,Environmental,Population per square mile,numeric_density,EPA / Census Bureau,2000,2023,people/sq mile,NA,Environmental,FALSE,NA,NA,NA,FALSE
air_quality_days_unhealthy,Environmental Health,Number of days with unhealthy air quality,numeric_count,EPA Air Quality System,2000,2023,days,air_pollution_pm25,Environmental,TRUE,NA,NA,NA,TRUE
air_toxics_cancer_risk,Environmental Health,Air toxics cancer risk,numeric_rate,EPA Air Quality System,2000,2023,per million,NA,Environmental,TRUE,NA,NA,NA,TRUE
diesel_pm_concentration,Environmental Health,Diesel particulate matter concentration,numeric_index,EPA Air Quality System,2000,2023,μg/m³,NA,Environmental,TRUE,NA,NA,NA,TRUE
drought_severity_index,Environmental Health,Average drought severity index,numeric_index,CDC Environmental Public Health Tracking,2002,2022,index,NA,Environmental,TRUE,NA,NA,NA,TRUE
extreme_heat_days,Environmental Health,Annual number of extreme heat days,numeric_count,CDC Environmental Public Health Tracking,2002,2022,days,NA,Environmental,TRUE,NA,NA,NA,TRUE
extreme_precipitation_events,Environmental Health,Annual number of extreme precipitation events,numeric_count,CDC Environmental Public Health Tracking,2002,2022,count,NA,Environmental,TRUE,NA,NA,NA,TRUE
lead_exposure_risk_index,Environmental Health,Index of lead exposure risk,numeric_index,CDC Environmental Public Health Tracking,2002,2022,index,NA,Environmental,TRUE,NA,NA,NA,TRUE
lead_paint_indicator,Environmental Health,Percentage of housing units built pre-1960,numeric_percent,EPA EJSCREEN,2016,2023,percent,NA,Environmental,TRUE,NA,NA,NA,TRUE
ozone_days_exceeding,Environmental Health,Days exceeding ozone standards,numeric_count,EPA Air Quality System,2000,2023,days,NA,Environmental,TRUE,NA,NA,NA,TRUE
pm25_annual_mean,Environmental Health,Annual mean PM2.5 concentration,numeric_index,EPA Air Quality System,2000,2023,μg/m³,air_pollution_pm25,Environmental,TRUE,NA,NA,NA,TRUE
proximity_to_hazardous_waste,Environmental Health,Count of hazardous waste facilities within 5km,numeric_count,EPA EJSCREEN,2016,2023,count,NA,Environmental,TRUE,NA,NA,NA,TRUE
proximity_to_npl_sites,Environmental Health,Proximity to National Priorities List (Superfund) sites,numeric_index,EPA EJSCREEN,2016,2023,index,NA,Environmental,TRUE,NA,NA,NA,TRUE
public_water_violations,Environmental Health,Number of public water system violations,numeric_count,CDC Environmental Public Health Tracking,2002,2022,count,NA,Environmental,TRUE,NA,NA,NA,TRUE
respiratory_hazard_index,Environmental Health,Respiratory hazard index from air pollutants,numeric_index,EPA Air Quality System,2000,2023,index,NA,Environmental,TRUE,NA,NA,NA,TRUE
traffic_proximity,Environmental Health,Count of vehicles at major roads within 500m,numeric_count,EPA EJSCREEN,2016,2023,count,NA,Environmental,TRUE,NA,NA,NA,TRUE
wastewater_discharge,Environmental Health,Toxicity-weighted concentrations in stream reach,numeric_index,EPA EJSCREEN,2016,2023,concentration,NA,Environmental,TRUE,NA,NA,NA,TRUE
child_food_insecurity_rate,Food Environment & Access,Percentage of children experiencing food insecurity,numeric_percent,Feeding America Map the Meal Gap,2009,2022,percent,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
children_low_access_pct,Food Environment & Access,Percentage of children with low access to a grocery store,numeric_percent,USDA Food Environment Atlas,2010,2022,percent,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
convenience_stores_per_1000,Food Environment & Access,"Number of convenience stores per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
farmers_markets_per_1000,Food Environment & Access,"Farmers markets per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
fast_food_restaurants_per_1000,Food Environment & Access,"Fast food restaurants per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
food_insecurity_cost_per_person,Food Environment & Access,Average cost per person to meet food needs,numeric_money,Feeding America Map the Meal Gap,2009,2022,dollars,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
food_insecurity_rate,Food Environment & Access,Percentage of overall population experiencing food insecurity,numeric_percent,Feeding America Map the Meal Gap,2009,2022,percent,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
full_service_restaurants_per_1000,Food Environment & Access,"Full-service restaurants per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
grocery_stores_per_1000,Food Environment & Access,"Number of supermarkets and grocery stores per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
low_income_low_access_pct,Food Environment & Access,Percentage of population that is low income and has low access to a grocery store,numeric_percent,USDA Food Environment Atlas,2010,2022,percent,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
seniors_low_access_pct,Food Environment & Access,Percentage of seniors with low access to a grocery store,numeric_percent,USDA Food Environment Atlas,2010,2022,percent,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
snap_authorized_stores_per_1000,Food Environment & Access,"SNAP-authorized retailers per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
snap_benefits_redemption_per_capita,Food Environment & Access,SNAP benefits redemption per capita,numeric_money,USDA Food Environment Atlas,2010,2022,dollars,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
supercenters_per_1000,Food Environment & Access,"Number of supercenter and club stores per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
wic_authorized_stores_per_1000,Food Environment & Access,"WIC-authorized stores per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,Health Behaviors,TRUE,NA,NA,NA,TRUE
binge_drinking_pct,Health Behaviors,Percentage of adults reporting binge drinking,numeric_percent,CDC PLACES / Feeding America,2010,2022,percent,NA,Health Behaviors,FALSE,NA,NA,NA,FALSE
food_insecurity_pct,Health Behaviors,Percentage of population with food insecurity,numeric_percent,CDC PLACES / Feeding America,2010,2022,percent,NA,Health Behaviors,FALSE,NA,NA,NA,FALSE
insufficient_sleep_pct,Health Behaviors,Percentage of adults reporting insufficient sleep,numeric_percent,CDC PLACES / Feeding America,2010,2022,percent,NA,Health Behaviors,FALSE,NA,NA,NA,FALSE
physical_inactivity_pct,Health Behaviors,Percentage of adults reporting no leisure-time physical activity,numeric_percent,CDC PLACES / Feeding America,2010,2022,percent,NA,Health Behaviors,FALSE,NA,NA,NA,FALSE
smoking_pct,Health Behaviors,Percentage of adults who currently smoke,numeric_percent,CDC PLACES / Feeding America,2010,2022,percent,NA,Health Behaviors,FALSE,NA,NA,NA,FALSE
arthritis_pct,Health Outcomes,Percentage of adults with arthritis,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
asthma_pct,Health Outcomes,Percentage of adults with asthma,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
cancer_pct,Health Outcomes,Percentage of adults with cancer (excluding skin cancer),numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
copd_pct,Health Outcomes,Percentage of adults with COPD,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
coronary_heart_disease_pct,Health Outcomes,Percentage of adults with coronary heart disease,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
depression_pct,Health Outcomes,Percentage of adults with diagnosed depression,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
diabetes_pct,Health Outcomes,Percentage of adults with diagnosed diabetes,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
heart_disease_pct,Health Outcomes,Percentage of adults with heart disease,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
high_blood_pressure_pct,Health Outcomes,Percentage of adults with high blood pressure,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
high_cholesterol_pct,Health Outcomes,Percentage of adults with high cholesterol,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
infant_mortality_rate,Health Outcomes,"Infant mortality rate per 1,000 live births",numeric_rate,CDC PLACES / CDC WONDER,2010,2022,count/1000,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
kidney_disease_pct,Health Outcomes,Percentage of adults with kidney disease,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
le_female_lower_ci,Health Outcomes,Lower confidence interval for female life expectancy,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
le_female_upper_ci,Health Outcomes,Upper confidence interval for female life expectancy,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
le_lower_ci,Health Outcomes,Lower confidence interval for life expectancy,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
le_male_lower_ci,Health Outcomes,Lower confidence interval for male life expectancy,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
le_male_upper_ci,Health Outcomes,Upper confidence interval for male life expectancy,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
le_upper_ci,Health Outcomes,Upper confidence interval for life expectancy,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy,Health Outcomes,Life expectancy at birth,numeric_years,CDC PLACES / CDC WONDER,2010,2022,years,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
life_expectancy_female,Health Outcomes,Female life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_female_hispanic,Health Outcomes,Hispanic female life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_female_multirace,Health Outcomes,Non-Hispanic multiracial female life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_female_nhaian,Health Outcomes,Non-Hispanic AIAN female life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_female_nhasian,Health Outcomes,Non-Hispanic Asian female life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_female_nhb,Health Outcomes,Non-Hispanic Black female life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_female_nhpi,Health Outcomes,Non-Hispanic Pacific Islander female life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_female_nhw,Health Outcomes,Non-Hispanic White female life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_hispanic,Health Outcomes,Hispanic life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_male,Health Outcomes,Male life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_male_hispanic,Health Outcomes,Hispanic male life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_male_multirace,Health Outcomes,Non-Hispanic multiracial male life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_male_nhaian,Health Outcomes,Non-Hispanic AIAN male life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_male_nhasian,Health Outcomes,Non-Hispanic Asian male life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_male_nhb,Health Outcomes,Non-Hispanic Black male life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_male_nhpi,Health Outcomes,Non-Hispanic Pacific Islander male life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_male_nhw,Health Outcomes,Non-Hispanic White male life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_multirace,Health Outcomes,Non-Hispanic multiracial life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_nhaian,Health Outcomes,Non-Hispanic AIAN life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_nhasian,Health Outcomes,Non-Hispanic Asian life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_nhb,Health Outcomes,Non-Hispanic Black life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_nhpi,Health Outcomes,Non-Hispanic Pacific Islander life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
life_expectancy_nhw,Health Outcomes,Non-Hispanic White life expectancy at birth,numeric_years,IHME (Institute for Health Metrics and Evaluation),2000,2019,years,NA,Health Outcomes,TRUE,NA,NA,NA,TRUE
obesity_pct,Health Outcomes,Percentage of adults with obesity (BMI ≥ 30),numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
poor_mental_health_pct,Health Outcomes,Percentage of adults reporting poor mental health,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
