variable_name,description,category,variable_type,preferred_source,years_available,interpolate_recommended,extend_backwards,extend_method,limitations
public_health_insurance_pct,Percentage with public health insurance,Health Insurance,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
medicaid_pct,Percentage with Medicaid/means-tested public coverage,Health Insurance,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
medicare_pct,Percentage with Medicare coverage,Health Insurance,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
single_parent_households_pct,Percentage of households with single parent,Social Factors,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
limited_english_pct,Percentage with limited English proficiency,Social Factors,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
broadband_access_pct,Percentage with broadband internet access,Social Factors,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
grandparents_caregivers_pct,Percentage of grandparents responsible for their grandchildren,Social Factors,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
internet_access_pct,Percentage of households with internet access,Social Factors,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
computer_access_pct,Percentage of households with a computer,Social Factors,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
non_english_home_pct,Percentage speaking language other than English at home,Social Factors,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
disability_pct,Percentage of civilian noninstitutionalized population with a disability,Disability,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
disability_under_18_pct,Percentage of population under 18 with a disability,Disability,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
disability_18_64_pct,Percentage of population 18 to 64 with a disability,Disability,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
disability_65_over_pct,Percentage of population 65 and over with a disability,Disability,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
cognitive_disability_pct,Percentage with cognitive difficulty,Disability,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
ambulatory_disability_pct,Percentage with ambulatory difficulty,Disability,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
independent_living_disability_pct,Percentage with independent living difficulty,Disability,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
severe_housing_cost_burden,Percentage with severe housing cost burden,Environmental,Varies,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
overcrowded_housing_pct,Percentage of housing units with more than 1 person per room,Environmental,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
housing_no_kitchen_pct,Percentage of housing units lacking complete kitchen facilities,Environmental,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
housing_no_plumbing_pct,Percentage of housing units lacking complete plumbing facilities,Environmental,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
population_density,Population per square mile,Demographics,Count,IPUMS NHGIS,1990-2020 (varies),TRUE,FALSE,NA,
air_pollution_pm25,Fine particulate matter levels,Environmental,Varies,IPUMS NHGIS,1990-2020 (varies),TRUE,FALSE,NA,
food_insecurity_pct,Percentage with food insecurity,Environmental,Percentage (0-100),IPUMS NHGIS,1990-2020 (varies),TRUE,FALSE,NA,
physical_inactivity_pct,Percentage physically inactive,Health Behaviors,Percentage (0-100),IPUMS NHGIS,1990-2020 (varies),FALSE,FALSE,NA,
severe_housing_problems,Percentage of households with severe housing problems,Housing,Varies,IPUMS NHGIS,1990-2020 (varies),TRUE,FALSE,NA,
annual_checkup_pct,Percentage with annual checkup,Health Access,Percentage (0-100),CDC PLACES,2019-2021,TRUE,TRUE,constant,
dental_visit_pct,Percentage with dental visit in past year,Health Access,Percentage (0-100),CDC PLACES,2019-2021,TRUE,TRUE,constant,
poor_physical_health_pct,Percentage with poor physical health,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
poor_mental_health_pct,Percentage with poor mental health,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
depression_pct,Percentage with depression,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
obesity_pct,Percentage with obesity,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
diabetes_pct,Percentage with diabetes,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
high_blood_pressure_pct,Percentage with high blood pressure,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
high_cholesterol_pct,Percentage with high cholesterol,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
asthma_pct,Percentage with asthma,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
arthritis_pct,Percentage with arthritis,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
cancer_pct,Percentage with cancer history,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
copd_pct,Percentage with COPD,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
kidney_disease_pct,Percentage with kidney disease,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
coronary_heart_disease_pct,Percentage with coronary heart disease,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
stroke_pct,Percentage with stroke history,Health Status,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
smoking_pct,Percentage who smoke,Health Behaviors,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
binge_drinking_pct,Percentage who binge drink,Health Behaviors,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
insufficient_sleep_pct,Percentage with insufficient sleep,Health Behaviors,Percentage (0-100),CDC PLACES,2019-2021,FALSE,TRUE,constant,Only available in recent years; values for earlier years are extended from earliest available data.
no_health_insurance_pct,Current lack of health insurance among adults aged 18-64 years,Health Insurance,Percentage (0-100),CDC PLACES,2019-2021,TRUE,FALSE,NA,
