variable_name,acs_var,dec_2020_var,dec_2010_var,dec_2000_var,pep_var,category,description,nhgis_var,cdc_places_var,available_in_acs,available_in_decennial,available_in_pep,available_in_nhgis,available_in_places,interpolate_recommended,preferred_source,years_available,extend_backwards,extend_method
private_health_insurance_pct,S2701_C03_001E,NA,NA,NA,NA,Health Insurance,Percentage with private health insurance,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
public_health_insurance_pct,S2701_C04_001E,NA,NA,NA,NA,Health Insurance,Percentage with public health insurance,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
medicaid_pct,S2704_C05_001E,NA,NA,NA,NA,Health Insurance,Percentage with Medicaid/means-tested public coverage,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
medicare_pct,S2704_C04_001E,NA,NA,NA,NA,Health Insurance,Percentage with Medicare coverage,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
single_parent_households_pct,B09002_002E,NA,NA,NA,NA,Social Factors,Percentage of households with single parent,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
limited_english_pct,S1602_C03_001E,NA,NA,NA,NA,Social Factors,Percentage with limited English proficiency,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
broadband_access_pct,S2801_C01_012E,NA,NA,NA,NA,Social Factors,Percentage with broadband internet access,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
grandparents_caregivers_pct,B10051_003E,NA,NA,NA,NA,Social Factors,Percentage of grandparents responsible for their grandchildren,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
internet_access_pct,S2801_C01_001E,NA,NA,NA,NA,Social Factors,Percentage of households with internet access,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
computer_access_pct,S2801_C01_002E,NA,NA,NA,NA,Social Factors,Percentage of households with a computer,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
non_english_home_pct,DP02_0113PE,NA,NA,NA,NA,Social Factors,Percentage speaking language other than English at home,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
disability_pct,S1810_C02_001E,NA,NA,NA,NA,Disability,Percentage of civilian noninstitutionalized population with a disability,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
disability_under_18_pct,S1810_C02_002E,NA,NA,NA,NA,Disability,Percentage of population under 18 with a disability,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
disability_18_64_pct,S1810_C02_003E,NA,NA,NA,NA,Disability,Percentage of population 18 to 64 with a disability,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
disability_65_over_pct,S1810_C02_004E,NA,NA,NA,NA,Disability,Percentage of population 65 and over with a disability,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
cognitive_disability_pct,S1810_C02_006E,NA,NA,NA,NA,Disability,Percentage with cognitive difficulty,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
ambulatory_disability_pct,S1810_C02_007E,NA,NA,NA,NA,Disability,Percentage with ambulatory difficulty,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
independent_living_disability_pct,S1810_C02_009E,NA,NA,NA,NA,Disability,Percentage with independent living difficulty,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
severe_housing_cost_burden,B25070_010E,NA,NA,NA,NA,Environmental,Percentage with severe housing cost burden,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
overcrowded_housing_pct,DP04_0078PE,NA,NA,NA,NA,Environmental,Percentage of housing units with more than 1 person per room,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
housing_no_kitchen_pct,DP04_0067PE,NA,NA,NA,NA,Environmental,Percentage of housing units lacking complete kitchen facilities,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
housing_no_plumbing_pct,DP04_0066PE,NA,NA,NA,NA,Environmental,Percentage of housing units lacking complete plumbing facilities,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
population_density,NA,NA,NA,NA,NA,Demographics,Population per square mile,POPDENSM,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IPUMS NHGIS,1990-2020 (varies),FALSE,NA
air_pollution_pm25,NA,NA,NA,NA,NA,Environmental,Fine particulate matter levels,PM25,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IPUMS NHGIS,1990-2020 (varies),FALSE,NA
food_insecurity_pct,NA,NA,NA,NA,NA,Environmental,Percentage with food insecurity,FOODINS,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IPUMS NHGIS,1990-2020 (varies),FALSE,NA
physical_inactivity_pct,NA,NA,NA,NA,NA,Health Behaviors,Percentage physically inactive,INACTIVE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,IPUMS NHGIS,1990-2020 (varies),FALSE,NA
severe_housing_problems,NA,NA,NA,NA,NA,Housing,Percentage of households with severe housing problems,HOUSING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IPUMS NHGIS,1990-2020 (varies),FALSE,NA
annual_checkup_pct,NA,NA,NA,NA,NA,Health Access,Percentage with annual checkup,NA,CHECKUP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CDC PLACES,2019-2021,TRUE,constant
dental_visit_pct,NA,NA,NA,NA,NA,Health Access,Percentage with dental visit in past year,NA,DENTAL,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CDC PLACES,2019-2021,TRUE,constant
poor_physical_health_pct,NA,NA,NA,NA,NA,Health Status,Percentage with poor physical health,NA,PHLTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
poor_mental_health_pct,NA,NA,NA,NA,NA,Health Status,Percentage with poor mental health,NA,MHLTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
depression_pct,NA,NA,NA,NA,NA,Health Status,Percentage with depression,NA,DEPRESSION,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
obesity_pct,NA,NA,NA,NA,NA,Health Status,Percentage with obesity,NA,OBESITY,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
diabetes_pct,NA,NA,NA,NA,NA,Health Status,Percentage with diabetes,NA,DIABETES,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
high_blood_pressure_pct,NA,NA,NA,NA,NA,Health Status,Percentage with high blood pressure,NA,BPHIGH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
high_cholesterol_pct,NA,NA,NA,NA,NA,Health Status,Percentage with high cholesterol,NA,HIGHCHOL,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
asthma_pct,NA,NA,NA,NA,NA,Health Status,Percentage with asthma,NA,CASTHMA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
arthritis_pct,NA,NA,NA,NA,NA,Health Status,Percentage with arthritis,NA,ARTHRITIS,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
cancer_pct,NA,NA,NA,NA,NA,Health Status,Percentage with cancer history,NA,CANCER,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
copd_pct,NA,NA,NA,NA,NA,Health Status,Percentage with COPD,NA,COPD,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
kidney_disease_pct,NA,NA,NA,NA,NA,Health Status,Percentage with kidney disease,NA,KIDNEY,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
coronary_heart_disease_pct,NA,NA,NA,NA,NA,Health Status,Percentage with coronary heart disease,NA,CHD,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
stroke_pct,NA,NA,NA,NA,NA,Health Status,Percentage with stroke history,NA,STROKE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
smoking_pct,NA,NA,NA,NA,NA,Health Behaviors,Percentage who smoke,NA,CSMOKING,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
binge_drinking_pct,NA,NA,NA,NA,NA,Health Behaviors,Percentage who binge drink,NA,BINGE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
insufficient_sleep_pct,NA,NA,NA,NA,NA,Health Behaviors,Percentage with insufficient sleep,NA,SLEEP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDC PLACES,2019-2021,TRUE,constant
no_health_insurance_pct,NA,NA,NA,NA,NA,Health Insurance,Current lack of health insurance among adults aged 18-64 years,NA,ACCESS2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CDC PLACES,2019-2021,FALSE,NA
