"GEOID","NAME","STATE","YEAR","TOTAL_POP","MEDIAN_AGE","WHITE_POP","BLACK_POP","ASIAN_POP","HISPANIC_POP","MEDIAN_INCOME","POVERTY_RATE","TWO_OR_MORE_RACES","NATIVE_AMERICAN","PACIFIC_ISLANDER","GROUP_QUARTERS_POP"
"27107","Norman","MN",2020,481756,36.582429651171,591811,61852,63679,17303,82964,7.91012222878635,16278,2872,995,36652
"27173","Yellow Medicine","MN",2020,826828,40.1259195525199,890271,330254,49398,392064,52361,11.1760617478285,5469,7769,1300,48689
"28087","Lowndes","MS",2020,391101,39.7296502254903,295146,283511,76012,126594,37381,19.9871872563381,16688,5413,2373,20379
"29031","Cape Girardeau","MO",2020,497802,32.1925642201677,542319,329218,191917,235864,85975,13.2503317506053,21472,3823,4411,40976
"29201","Scott","MO",2020,427041,31.0802387213334,438329,449826,145635,372914,75105,18.67623921833,37554,2390,2475,41083
"29081","Harrison","MO",2020,877408,30.4394145403057,319606,194969,277224,156706,30064,12.6881210203283,6679,6569,1840,47410
"30031","Gallatin","MT",2020,435234,39.3437213776633,676884,44686,132811,385242,46386,12.7749619376846,27944,1798,4287,1789
"30071","Phillips","MT",2020,8733,41.5968103380874,392050,168180,61660,322113,85840,29.7043117880821,41007,2422,1614,5418
"30085","Roosevelt","MT",2020,878284,48.246101886034,242369,36667,232840,382139,41408,28.733327689115,28560,2785,2549,3840
"30089","Sanders","MT",2020,884833,49.7165145585313,533184,91918,276016,181348,51194,27.6358647865709,10412,828,3442,20930
"31103","Keya Paha","NE",2020,497036,41.2911854498088,528329,240781,203172,164829,60506,18.2175786420703,23999,5246,4854,29013
"34011","Cumberland","NJ",2020,937219,35.4263620777056,115951,476431,124423,225359,51258,11.169049849268,7577,1931,4979,6114
"34041","Warren","NJ",2020,171770,33.065397143364,824757,210813,177744,130312,59733,17.3851272976026,27329,9082,3508,32511
"34005","Burlington","NJ",2020,167698,45.9768458409235,478882,420848,199336,253692,44193,29.4267443311401,40065,6321,4757,27551
"34023","Middlesex","NJ",2020,20098,44.330117306672,654411,49001,25589,294440,40831,25.2173366502393,46993,8148,871,26879
"35041","Roosevelt","NM",2020,106405,32.9159326152876,577621,424185,252048,327904,96551,27.1098712063394,1219,6201,1349,35323
"37031","Carteret","NC",2020,416542,33.3982028020546,118807,211392,113361,119719,84795,21.4238796045538,20723,6033,2254,21548
"37165","Scotland","NC",2020,473681,43.7924314662814,24223,195036,197561,171297,87817,18.2931261090562,31400,330,2201,28046
"37009","Ashe","NC",2020,714238,36.6249000327662,803513,202569,283990,240366,61924,7.14578596060164,26859,7054,4829,36253
"37075","Graham","NC",2020,927745,42.6259852014482,263549,425349,60713,48318,68889,11.5544803335797,28867,8861,4470,48121
"38105","Williams","ND",2020,362871,31.5619543148205,680978,441811,267612,35294,43025,7.31767134973779,6667,2367,3371,34530
"38085","Sioux","ND",2020,54296,45.9493812220171,850388,137620,15045,100373,49857,8.9552504546009,12833,4151,293,41667
"39123","Ottawa","OH",2020,757093,38.9945714734495,500000,238600,72972,35801,47884,24.1258294449653,5396,9262,2452,18848
"39125","Paulding","OH",2020,392884,43.1218873942271,245922,319159,18050,170313,80703,9.68129302607849,32465,8088,3836,40254
"39035","Cuyahoga","OH",2020,935725,49.8783751949668,372002,67381,170606,228771,99891,27.3737756488845,47228,7274,4143,35249
"40095","Marshall","OK",2020,885589,40.8630383713171,36842,242036,215968,107296,36409,27.4839411792345,38247,1250,1968,17283
"40013","Bryan","OK",2020,825726,39.6303846128285,628902,248937,106920,369141,39391,11.9328590703662,42687,9556,2852,12662
"40023","Choctaw","OK",2020,291539,38.6472047446296,253848,301201,82272,194532,51251,28.9857564563863,40313,2561,251,1550
"41033","Josephine","OR",2020,256474,45.9927343670279,523405,48176,100015,140159,67059,29.1554487147368,42840,3181,3798,43205
"41045","Malheur","OR",2020,433981,40.8230976946652,345732,98027,244162,302817,34224,26.6984343307558,18763,8284,4638,4754
"41001","Baker","OR",2020,385904,33.88159384951,138484,391152,99002,378241,43591,29.1577563050669,47371,4140,4121,6776
"41021","Gilliam","OR",2020,682790,30.8361370535567,863250,92367,91958,339492,86510,18.5377628204878,15068,9014,926,29457
"42045","Delaware","PA",2020,627255,47.6218297285959,852462,266720,234298,49645,98648,16.4666682493407,11851,4303,3346,21171
"42049","Erie","PA",2020,354205,38.1917495420203,132103,234319,41562,287708,92067,22.3768592474516,3488,494,3006,27897
"42059","Greene","PA",2020,275479,32.385869640857,601938,53760,129803,60835,80782,16.9885862688534,13265,6514,43,43999
"45053","Jasper","SC",2020,673106,44.400533111766,810077,366732,255246,267852,94446,22.376459762454,42662,5751,2004,33593
"45043","Georgetown","SC",2020,20828,35.3638708777726,794293,351576,294934,283109,79289,27.4964875262231,26535,9903,1595,16951
"45091","York","SC",2020,687837,49.476815322414,604880,416515,64628,316293,86137,16.8113724165596,40122,6191,3372,34470
"45057","Lancaster","SC",2020,413863,30.0287759909406,495578,101200,50805,96864,42737,19.9865963787306,12477,2617,1635,1032
"46009","Bon Homme","SD",2020,260834,43.9785334747285,436533,197369,191464,392282,95692,29.4449806574266,24419,8805,3376,23343
"47065","Hamilton","TN",2020,364790,42.4545580567792,215502,164463,179080,364301,61337,29.6798297564965,45372,5916,607,16098
"47163","Sullivan","TN",2020,49268,40.7537771761417,485703,99798,34188,230158,85510,5.4403019847814,40457,1400,3803,13149
"47009","Blount","TN",2020,593178,30.0682667270303,840478,93846,101874,267803,73033,18.8746425101999,10542,7348,1745,17160
"47019","Carter","TN",2020,174799,40.982494642958,421743,136091,194194,49631,52768,11.8435079359915,3156,6376,3986,10218
"48273","Kleberg","TX",2020,457092,30.9606042224914,868265,1891,174256,395918,98994,26.6657322947867,49395,393,1536,18063
"48391","Refugio","TX",2020,276799,44.4691001530737,12133,492455,132142,18030,47796,16.9790855969768,1237,3389,570,45095
"48201","Harris","TX",2020,296533,48.0463781487197,743896,389048,202886,302400,59518,13.547927060863,4691,8257,405,49280
"48443","Terrell","TX",2020,414885,43.8523228047416,557930,162035,66185,123129,50749,13.3283990737982,30905,5001,4242,18751
"48229","Hudspeth","TX",2020,436601,46.4693226153031,531481,420006,7288,266537,85421,28.0578634422272,27775,9326,179,35173
"48205","Hartley","TX",2020,917657,46.657262952067,312685,473976,91903,193707,34070,21.783847543411,46071,5331,3860,32304
"48351","Newton","TX",2020,574912,47.9635987663642,5319,73591,135187,325121,99385,21.4248837390915,32297,4106,1668,24872
"54107","Wood","WV",2020,864629,31.9305909238756,488821,52480,256064,187090,42180,16.5903260069899,11051,8926,172,9629
"49037","San Juan","UT",2020,304608,43.729436933063,457744,373793,182847,222856,96205,23.9406956371386,4283,9461,27,18152
"49033","Rich","UT",2020,696325,33.0614447453991,220921,361794,230795,145594,91385,22.32787018409,9599,6989,5,36428
"50027","Windsor","VT",2020,181663,42.2273310413584,864330,195186,149204,246359,90060,29.0472964942455,43050,4136,1546,47214
"51119","Middlesex","VA",2020,488670,39.6733581926674,454111,13172,156039,15083,34818,20.9968817839399,37815,4453,2646,5628
"51131","Northampton","VA",2020,100157,38.2737660640851,432318,344205,146822,301070,39337,21.4552878879476,31819,9902,3787,4722
"51117","Mecklenburg","VA",2020,284809,33.7364743463695,455242,282601,9474,279952,88357,11.4431829086971,15932,8361,1204,36534
"51133","Northumberland","VA",2020,931221,36.541378875263,757961,171589,214677,48330,96247,5.44400084880181,29304,6450,4377,43423
"51051","Dickenson","VA",2020,50898,33.9030654588714,258478,435690,78761,83821,93324,18.9339371584356,16618,2882,1284,37643
"51107","Loudoun","VA",2020,254601,30.4868073062971,624891,148928,167738,360148,51752,16.8423131178133,44079,7774,541,43732
"51181","Surry","VA",2020,437874,48.4475316293538,131549,118685,256292,262278,50764,12.8874519327655,31422,9440,1378,37744
"53027","Grays Harbor","WA",2020,510693,39.528770763427,621799,21971,202915,102597,54940,22.3704967426602,47954,8106,972,14108
"53053","Pierce","WA",2020,773826,40.7653722120449,67342,457628,5722,86494,88913,26.3875518064015,7612,7803,2104,2996
"53047","Okanogan","WA",2020,692216,40.8568719634786,591920,350706,212237,392879,93456,17.574687669985,43039,3123,4307,36181
"53071","Walla Walla","WA",2020,753699,34.2630773223937,761433,64727,24144,107223,48517,17.844440783374,39183,8921,4522,10578
"02066","Copper River","AK",2020,973517,30.3887677658349,482638,466149,289926,219224,45478,7.2077995701693,47433,2292,439,42563
"54031","Hardy","WV",2020,729782,33.1097094621509,260990,275073,112712,119698,97951,10.9650847048033,37681,3437,826,19713
"54023","Grant","WV",2020,194507,37.7092378679663,469613,215238,23413,15416,92586,12.961074745981,6781,1836,2499,48536
"55121","Trempealeau","WI",2020,430315,45.624073878862,781304,4534,86300,307928,91923,7.32933027436957,15386,1333,4114,32963
"55037","Florence","WI",2020,553836,36.5788169624284,80958,136617,213886,2426,90596,6.89223964698613,20331,8952,1673,8386
"02100","Haines","AK",2020,97208,44.4365776702762,731572,322406,112198,135188,48224,27.5588182918727,23272,3200,1573,27689
"56045","Weston","WY",2020,840947,31.2780585279688,257486,280284,160565,227387,36827,11.6521897097118,32177,1501,4118,9239
"05013","Calhoun","AR",2020,412550,39.3537504132837,61350,400163,184936,1740,40237,19.7879925672896,12644,3703,3355,49019
"05061","Howard","AR",2020,436129,41.1364695802331,412952,234785,151654,306562,69286,9.50084597687237,29380,8730,1902,27420
"05099","Nevada","AR",2020,811136,37.426724769175,539430,189195,251130,246293,61884,12.5924318749458,35315,3197,3519,1315
"05103","Ouachita","AR",2020,363325,43.7378321681172,330814,176105,187146,292985,97891,29.4992661348078,27757,6188,4742,41259
"06063","Plumas","CA",2020,219236,47.4571540532634,192190,475014,41576,255563,67352,12.6346658519469,31230,9328,1169,25234
"06101","Sutter","CA",2020,944711,38.9596533123404,886581,9457,197411,55949,65145,8.44558015931398,36457,928,3337,14832
"06021","Glenn","CA",2020,40000,34.8969821259379,301244,269606,102273,381096,77881,12.4678692501038,21873,7167,1804,37223
"08015","Chaffee","CO",2020,781546,35.2754584699869,385811,133614,214669,173882,33804,6.93545744405128,32223,6466,3411,17218
"08065","Lake","CO",2020,416566,37.8663305612281,115515,139097,248911,200767,57093,6.21450845617801,44816,3273,4705,36967
"08027","Custer","CO",2020,487212,49.5265723811463,362536,186258,62078,214221,50909,7.79664556728676,26886,7047,2217,48442
"12097","Osceola","FL",2020,751786,32.1392580587417,118532,399830,7300,73297,96762,27.0222228264902,17721,6196,3876,46124
"12119","Sumter","FL",2020,105138,49.6872695395723,477323,241311,285667,338611,63856,24.7328800335526,47531,5767,1873,31558
"12107","Putnam","FL",2020,50253,46.3042590813711,765793,417567,263576,106299,77402,7.40787071525119,38292,8017,841,4671
"13219","Oconee","GA",2020,406874,33.3261434827,769477,303497,241293,10168,73783,29.6106508595403,11806,6163,3556,47737
"13135","Gwinnett","GA",2020,139747,41.1053856508806,627821,27082,79,163981,83277,13.9921266131569,31648,7301,2285,11184
"13009","Baldwin","GA",2020,278651,39.0601187571883,109772,232361,138582,46972,40915,29.5777114178054,15756,3791,81,12596
"13001","Appling","GA",2020,62374,32.031157487072,728080,420380,62557,172568,38081,13.2444942207076,40908,8528,2801,26793
"13271","Telfair","GA",2020,192378,40.9804827766493,81642,51315,292481,177791,91035,7.2617919719778,12026,1247,4647,30867
"13217","Newton","GA",2020,252375,46.2449764180928,825865,346474,226636,216514,79631,15.4617110919207,48743,7431,797,28590
"13163","Jefferson","GA",2020,578234,33.2783060101792,151386,165700,46468,248665,30001,9.03783611254767,12782,7860,1327,2203
"13267","Tattnall","GA",2020,454771,31.0193884698674,372640,442920,50787,203174,38172,10.2000004041474,2852,474,20,48379
"13317","Wilkes","GA",2020,966563,34.6465941797942,102761,226198,265754,274358,85592,17.027740868507,2896,4516,4064,19375
"13319","Wilkinson","GA",2020,900168,35.6457733782008,293077,407121,226194,372492,34479,14.7208590072114,26502,6389,1809,28900
"13237","Putnam","GA",2020,320224,49.3854340026155,839499,168462,280735,186826,33772,18.981603650609,27674,3047,480,16557
"13079","Crawford","GA",2020,678099,46.3785376958549,140904,8957,122459,20991,60759,23.7453873862978,35377,2042,1007,18834
"16013","Blaine","ID",2020,209000,42.8945023519918,117903,30471,194827,194991,79151,25.4785281384829,39906,7502,1276,4497
"16023","Butte","ID",2020,407414,30.050185113214,87771,364454,257124,338906,70704,13.9839497755747,27235,9080,2998,9804
"16025","Camas","ID",2020,421590,46.2484082765877,707809,165448,89172,105458,45200,7.83986800350249,45733,6816,934,8388
"17065","Hamilton","IL",2020,812688,41.8973924964666,667209,295699,75450,111004,52392,21.4407292031683,23723,8159,2051,44586
"18055","Greene","IN",2020,29942,44.7113039623946,483866,16600,39539,160791,72089,6.51855624862947,304,753,3594,25612
"18051","Gibson","IN",2020,681067,48.9224662352353,842565,82186,83646,339578,49845,28.7689095083624,17092,1448,1197,22625
"18027","Daviess","IN",2020,711513,33.7518975837156,740815,210632,2017,236769,31201,12.3203851759899,9614,9117,108,6377
"19039","Clarke","IA",2020,883372,43.1386943440884,247783,233915,165712,329210,42246,15.4357247357257,23489,5751,1482,23309
"19001","Adair","IA",2020,844035,44.5628708228469,879815,373666,249496,243478,58489,24.3526828603353,19604,503,3838,49404
"20027","Clay","KS",2020,611561,38.1988442735747,409717,346406,147585,196823,37613,24.0805548278149,38782,8780,1411,47097
"20171","Scott","KS",2020,467943,46.1992269847542,163024,459149,151734,21735,39875,29.0008805762045,25732,9236,2753,33960
"20047","Edwards","KS",2020,372019,41.4455451210961,894373,59170,21504,196889,98430,9.69554620794952,13972,1905,3915,13827
"21115","Johnson","KY",2020,158090,30.9348858054727,227926,265179,187686,275696,95760,21.7154556838796,28533,3300,695,18337
"21175","Morgan","KY",2020,194548,39.6385358506814,107882,182304,202948,235219,68210,10.1990209147334,15446,6020,3696,19005
"21095","Harlan","KY",2020,711505,43.6477049672976,883190,166684,175757,205106,86947,15.7417698716745,30374,2452,4474,1868
"21187","Owen","KY",2020,931807,32.1737382281572,134345,422670,204987,168323,39367,14.5240821130574,28940,4443,1509,49981
"21097","Harrison","KY",2020,981842,46.4475511945784,858814,208097,39685,241271,49135,20.2357904764358,5897,9958,1557,20865
"21197","Powell","KY",2020,491739,33.1589917419478,52157,468055,292560,361356,67855,14.5894941536244,11912,8676,1787,37560
"21069","Fleming","KY",2020,73976,43.8431048858911,170884,131441,86735,146824,49430,12.052235561423,40465,1910,2473,7227
"21063","Elliott","KY",2020,566154,33.1467773625627,196506,209077,5307,377591,79575,24.1314939991571,35843,6264,141,16030
"21079","Garrard","KY",2020,371933,45.2006579982117,712411,9827,110013,20891,86775,25.3534529835451,37958,7981,3587,18971
"22069","Natchitoches","LA",2020,380702,45.5808948073536,580081,381470,185276,219467,77234,23.600027600769,49368,5736,2844,7458
"22081","Red River","LA",2020,218609,42.8605672717094,85665,273338,121048,380396,57317,7.46609149035066,46340,7919,3283,6770
"22001","Acadia","LA",2020,219811,42.9149388009682,253329,126929,223220,347134,71002,19.7479801496956,16456,8346,4351,47568
"23007","Franklin","ME",2020,218058,38.0701892776415,296371,342261,189211,60656,52132,12.363657746464,17929,8060,202,39649
"25015","Hampshire","MA",2020,991058,38.7567213224247,205689,53129,146859,70548,76887,14.6423518087249,38514,1419,2334,30229
"26095","Luce","MI",2020,323620,44.1870462941006,202713,402239,26184,156795,77579,26.2713038898073,16701,3467,2374,11723
"27097","Morrison","MN",2020,708567,48.1012528389692,555830,86457,148490,159071,88378,28.7738183990587,37092,8806,377,1379
"27023","Chippewa","MN",2020,906305,36.9455522997305,254362,176184,147079,203022,30493,8.8252150057815,17300,992,3551,12159
"27139","Scott","MN",2020,904647,45.5385701917112,50623,477973,94022,96002,71745,23.7592251924798,46934,7280,4514,6190
"27087","Mahnomen","MN",2020,408150,36.5852943668142,747833,223831,223217,314016,73149,21.9056531682145,47479,6836,4596,35461
"28121","Rankin","MS",2020,29553,41.3684605248272,438713,154391,198023,399582,99808,12.4878695828374,44546,6520,2401,8592
"28083","Leflore","MS",2020,591346,40.0477506779134,159985,122287,120866,204184,98062,25.513094792841,20624,85,3426,13706
"29113","Lincoln","MO",2020,154691,37.3490968253464,560357,38250,80475,179445,55821,12.6526220829692,32835,3048,4881,44156
"29167","Polk","MO",2020,431751,42.8824123553932,769679,369382,176689,99313,89317,17.0371850673109,37600,1610,1240,35373
"29207","Stoddard","MO",2020,249449,30.1674810005352,805635,329589,170253,156882,34503,21.788577742409,43854,6371,1154,40014
"30013","Cascade","MT",2020,509073,44.2244718130678,763584,395542,292793,152612,81035,23.2337099511642,36654,4142,3716,3725
"30093","Silver Bow","MT",2020,619273,41.9684676127508,811716,331594,30703,119354,84941,7.5444271392189,3727,3713,1714,37830
"30055","McCone","MT",2020,649070,42.3304078076035,285288,125115,231567,108932,34776,23.7407203426119,22876,8008,3475,48770
"30059","Meagher","MT",2020,109053,46.769160637632,374599,86936,258441,141398,92142,27.4704136315268,39538,703,2291,39713
"30033","Garfield","MT",2020,22851,39.3884213641286,773126,311742,186692,266721,78988,12.0987741637509,19813,7935,3335,18214
"31071","Garfield","NE",2020,991082,38.1560499453917,399454,281670,278633,186140,37393,28.2263385842089,28099,6122,2614,42570
"31115","Loup","NE",2020,161623,36.0005059791729,898157,117674,280816,256704,61334,13.075924142031,6321,926,1235,36247
"31075","Grant","NE",2020,279329,44.0989464474842,111283,284818,199277,20692,83752,20.3817206446547,39231,4878,1531,23843
"36053","Madison","NY",2020,778325,33.0874969204888,145747,77795,280,399847,90935,22.3014023283031,37094,1087,3838,3982
"36077","Otsego","NY",2020,409833,32.8185208002105,573428,109894,26758,233563,80121,6.80149262305349,25295,3653,79,35421
"36051","Livingston","NY",2020,815091,44.0868099359795,797258,1091,105884,159887,37430,19.8310656135436,35765,968,4186,3529
"37147","Pitt","NC",2020,553730,40.7873848220333,376238,225791,292131,329492,91284,25.2776792633813,44875,6533,1327,7728
"37085","Harnett","NC",2020,414178,39.138126433827,272608,193244,239011,81852,69235,27.9063011822291,46825,7252,4247,5564
"37079","Greene","NC",2020,634667,43.8102921983227,832376,170440,70376,70747,86559,6.23987477272749,32905,9498,3152,7464
"37125","Moore","NC",2020,454843,37.6901762327179,877293,43382,7597,101648,84576,18.8799220672809,6991,1489,1145,28537
"37023","Burke","NC",2020,152091,39.8151052044705,389273,282620,232338,347474,52402,27.5603298225906,49908,9659,4038,21707
"37021","Buncombe","NC",2020,640189,30.1025493536144,495564,160854,58975,134992,63990,27.2634240344632,46571,7194,1178,49626
"37093","Hoke","NC",2020,87950,32.5995328603312,150396,113231,130128,4635,88248,27.4261891329661,43877,9965,1121,359
